"FOOD SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","","",""
"201
Discovering Food Science","001","","41","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"301
Intro to Sci & Technol of Food","001","","57","2.816","15.8","21.1","21.1","19.3","12.3","8.8","1.8",".",".",".",".",".",".",".",".","."
"321
Food Laws and Regulations","001","","50","3.592","56.0","22.0","10.0","6.0","2.0","2.0",".","2.0",".",".",".",".",".",".",".","."
"375","002","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","003","","40","3.056","25.0","17.5","17.5","20.0","12.5",".",".","7.5",".",".",".",".",".",".",".","."
"375","004","","13","3.643","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","68","3.281","45.6","17.6","13.2","11.8","7.4",".",".","4.4",".",".",".",".",".",".",".","."
"399","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","5","***","","","","","","","","","","","","","","","",""
"412
Food Analysis","001","","42","3.036","21.4","16.7","33.3","14.3","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"432
Principles-Food Preservation","001","","58","2.534","8.6","6.9","34.5","10.3","27.6","10.3","1.7",".",".",".",".",".",".",".",".","."
"441
Rheology of Foods&Biomaterials","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"511
Chem & Technol-Dairy Products","001","","23","3.563","21.7","34.8","13.0",".",".",".",".","30.4",".",".",".",".",".",".",".","."
"514
Integrated Food Functionality","001","","28","3.036","25.0","3.6","42.9","10.7","17.9",".",".",".",".",".",".",".",".",".",".","."
"537
Org&Mgmt-Nutritn&Food Serv","001","","50","3.350","8.0","62.0","22.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"603
Senior Seminar","001","","25","3.720","52.0","40.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"611
Chem & Technol-Dairy Products","001","","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Seminar Advanced","001","","37","4.000","24.3",".",".",".",".",".",".","75.7",".",".",".",".",".",".",".","."
"990","009","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","032","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","36","",".",".",".",".",".",".",".","72.2","2.8",".",".","25.0",".",".",".","."
