"L&S","","","","","","","","","","","","","","","","","","","",""
"GREEK (CLASSICS)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","",""
"Second Semester Greek","104
001","","14","3.417","14.3","50.0","14.3","7.1",".",".",".","14.3",".",".",".",".",".",".",".","."
"Second Semester Greek","304
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Greek","306
001","","16","3.563","43.8","37.5","6.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Greek Comedy","520
001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Individual Research Thesis","890
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"GREEK
428","Dept. Total","","45","3.536","40.0","33.3","11.1","6.7","2.2",".",".","6.7",".",".",".",".",".",".",".","."
