"L&S","","","","","","","","","","","","","","","","","","","","",""
"","LANGUAGES & CULTURES OF A Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"521
LCA","","","","","","","","","","","","","","","","","","","","",""
"Intro to Cultures of Asia","100","001","","48","3.543","39.6","31.3","20.8","2.1","2.1",".",".",".",".",".",".",".","4.2",".",".","."
"Genres-Asian Religious Writing","235","001","","8","3.250","50.0",".","25.0",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"SE Asian Refugees of Cold War","246","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cen Asia: Silk Route-Afghan","265","001","","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to the Middle East","266","001","","67","3.611","53.7","25.4","11.9",".",".",".","3.0",".",".",".",".",".","4.5",".","1.5","."
"Hinduism","355","001","","64","3.556","32.8","45.3","15.6","3.1",".",".",".","3.1",".",".",".",".",".",".",".","."
"Literatures-Muslim Societies","357","001","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Buddhism","364","001","","14","3.583","42.9","21.4","14.3","7.1",".",".",".",".",".",".",".",".",".",".","14.3","."
"Visual Cultures of South Asia","428","001","","8","3.125","12.5","37.5","12.5","37.5",".",".",".",".",".",".",".",".",".",".",".","."
"Hist SE Asia Since 1800","458","001","","6","3.643","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Indian Writers Abroad","524","001","","6","3.333",".","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Structrs-Muslim Society","614","001","","12","3.714","33.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".","41.7",".","."
"Studies in Religions of Asia","620","001","","6","3.600","16.7","66.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Map & Represent Colonial Space","621","001","","9","3.500","55.6","33.3",".",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"Structure of Thai","671","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Topics in Religions of Asia","802","001","","9","3.938","77.8","11.1",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Smr-Lang & Lit of S Asia","873","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","058","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","11","",".",".",".",".",".",".",".","54.5","9.1",".",".","36.4",".",".",".","."
"Individual Research","999","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
