"ART HISTORY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","",""
"799","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","12","4.000","66.7",".",".",".",".",".",".","8.3",".",".",".",".","25.0",".",".","."
"800","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"800","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"800","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr:Spec Topics-Art History","Course Total","","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".",".",".","6.7","."
"801
Hist,Thry &Meth in Visual Cult","001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"805
Smr-Ancient Art&Architectr","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"856
Grad Smr-20th C Europn Art","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"876
Seminar in Chinese Art","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","20","",".",".",".",".",".",".",".","55.0",".",".",".","45.0",".",".",".","."
