"L&S","","","","","","","","","","","","","","","","","","","","",""
"","E ASIAN LANGUAGES & LITERA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","","",""
"First Semester Chinese","101","001","","87","3.810","72.4","18.4","8.0","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"","103","001","","78","3.558","55.1","24.4","6.4","6.4","3.8","2.6",".",".",".",".",".",".","1.3",".",".","."
"","103","002","","54","3.676","66.7","22.2",".","5.6","3.7","1.9",".",".",".",".",".",".",".",".",".","."
"First Semester Japanese","","Course Total","","132","3.607","59.8","23.5","3.8","6.1","3.8","2.3",".",".",".",".",".",".","0.8",".",".","."
"Elementary Korean","105","001","","73","3.743","63.0","27.4","4.1","1.4","2.7",".",".","1.4",".",".",".",".",".",".",".","."
"","122","001","","18","3.806","61.1","38.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","122","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Chinese","","Course Total","","25","3.860","72.0","28.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Japanese","124","001","","30","3.767","73.3","16.7","3.3","3.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Chinese","201","001","","52","3.663","57.7","25.0","11.5","3.8","1.9",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Japanese","203","001","","44","3.443","45.5","22.7","15.9","6.8","9.1",".",".",".",".",".",".",".",".",".",".","."
"Religion-Hist&Culture: East","273","001","","14","3.423","28.6","42.9","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".","7.1","."
"","299","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Fifth Semester Chinese","301","001","","44","3.682","54.5","31.8","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"5th Semester Japanese","303","001","","27","3.148","29.6","14.8","22.2","29.6",".","3.7",".",".",".",".",".",".",".",".",".","."
"First Semester Chinese","311","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","319","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","319","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Japanese","","Course Total","","9","3.875","77.8",".","11.1",".",".",".",".",".",".",".",".",".",".","11.1",".","."
"1st Yr Classical Chinese","321","001","","26","3.540","50.0","19.2","15.4","7.7","3.8",".",".",".",".",".",".",".","3.8",".",".","."
"Elementary Korean","325","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Japanese","327","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Technical Japanese I","330","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Chinese Conversation","333","001","","14","3.808","64.3","21.4","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Intmed Japanese Conversatn","335","001","","18","3.583","72.2","5.6","16.7",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"Third Semester Korean","345","001","","25","3.742","68.0","12.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Korean","347","001","","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Taoism","350","001","","27","3.435","18.5","59.3","14.8","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Chinese Literature","351","001","","28","3.680","46.4","32.1","7.1","3.6",".",".",".",".",".",".",".",".","10.7",".",".","."
"Survey of Japanese Literature","353","001","","27","3.278","11.1","40.7","40.7","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Chinese Literature","371","001","","40","3.660","55.0","30.0","7.5","5.0","2.5",".",".",".",".",".",".",".",".",".",".","."
"Intermed Tech Japanese I","374","001","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Anime","378","001","","20","3.105","10.0","40.0","30.0","10.0",".",".","5.0",".",".",".",".",".","5.0",".",".","."
"Seventh Semester Chinese","401","001","","18","3.735","83.3",".",".","5.6",".","5.6",".","5.6",".",".",".",".",".",".",".","."
"Seventh Semester Japanese","403","001","","22","2.932","13.6","36.4","22.7","13.6",".","9.1","4.5",".",".",".",".",".",".",".",".","."
"Seventh Semester Korean","405","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Japanese for Bus & Industry","430","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Chinese Linguistics","431","001","","22","3.909","86.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
