"L&S","","","","","","","","","","","","","","","","","","",""
"JOURN AND MASS COMMUNICA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","",""
"Mass Media in Multicultrl Amer","162
001","84","3.065","15.5","23.8","31.0","20.2","8.3","1.2",".",".",".",".",".",".",".",".",".","."
"","176
001","31","3.903","90.3","6.5",".",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"","176
005","22","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in Mass Comm","Course Total","53","3.868","83.0","11.3","3.8",".","1.9",".",".",".",".",".",".",".",".",".",".","."
"Intro to Mass Communication","201
001","341","3.369","25.8","34.3","32.3","5.3","0.9","0.9","0.3","0.3",".",".",".",".",".",".",".","."
"Mass Communication Practices","202
001","119","3.479","19.3","57.1","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335
001","16","3.469","31.3","37.5","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","335
002","17","3.706","47.1","47.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335
004","14","3.769","50.0","42.9",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","335
005","13","3.423","30.8","53.8","7.7",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"Intermediate Reporting","Course Total","60","3.593","40.0","45.0","10.0","1.7",".","1.7",".",".",".",".",".",".","1.7",".",".","."
"","001
345","31","3.661","45.2","41.9","12.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","345
002","24","3.604","45.8","29.2","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","345
003","29","3.914","82.8","17.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
345","29","3.534","37.9","34.5","24.1","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Strategic Com","Course Total","113","3.681","53.1","31.0","15.0","0.9",".",".",".",".",".",".",".",".",".",".",".","."
"In-Depth Reporting","401
001","10","3.750","70.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Nonfiction","405
001","13","3.385","23.1","30.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Science & Envir Journalism","415
001","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Magazines&Magazine Editing","417
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electronc News-Web & Broadcast","419
001","13","3.615","38.5","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Develop Creatv Messages-Media","445
001","16","3.719","56.3","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","447
001","22","3.762","54.5","36.4","4.5",".",".",".",".",".",".",".",".",".",".",".","4.5","."
"","002
447","23","3.717","78.3","4.3","13.0",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"Strategic Media Planning","Course Total","45","3.739","66.7","20.0","8.9",".",".","2.2",".",".",".",".",".",".",".",".","2.2","."
"Rsch&Stratgy-Strategc Campaign","449
001","26","3.673","53.8","34.6","7.7",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","475
011","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475
018","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Adv Concpts&Skills","Course Total","23","3.935","91.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law of Mass Communication","001
559","58","3.237","37.9","15.5","19.0","10.3","13.8","1.7",".","1.7",".",".",".",".",".",".",".","."
"Mass Communication&Society","561
001","83","3.373","19.3","38.6","39.8","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","616
001","22","3.591","45.5","45.5","4.5",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"","616
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Mass Media and Youth","Course Total","25","3.620","48.0","44.0","4.0",".",".","4.0",".",".",".",".",".",".",".",".",".","."
"","618
001","24","3.479","16.7","62.5","20.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
618","24","3.292","33.3","29.2","25.0","4.2","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"Mass Comm & Political Behav","Course Total","48","3.385","25.0","45.8","22.9","2.1","2.1",".","2.1",".",".",".",".",".",".",".",".","."
"International Communication","001
620","21","3.476","42.9","23.8","23.8","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and the Consumer","646
001","97","3.305","23.7","39.2","18.6","8.2","7.2","1.0",".","1.0",".",".",".",".","1.0",".",".","."
"Communication Rsch Methods","658
001","18","3.694","44.4","50.0","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literary Aspects of Journ","669
001","30","3.650","46.7","36.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technology for Social Change","670
001","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
