"REHAB PSYCH & SPECIAL EDU","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","12","4.000","66.7",".",".",".",".",".",".",".",".",".",".","25.0","8.3",".",".","."
"700
Smr: Rehab Psych Research","001","","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"719
Intro to Qualitative Research","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"788
Qual Rsch Mthds-Educ: Field I","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"801
Rsch, Pol & Prac-Spec Educ","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"810
Rehab Cnslg Psych-Technique","001","","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"860","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"860","002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"860","022","","8","3.929","75.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Rehab Cnsl Psych-Clin Prac","Course Total","","26","3.980","92.3","3.8",".",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"880
Rehab Cnsl Psych-Sup Prac 1","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890
Rehab Cnsl Psych-Sup Prac 2","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"900
Rehab Cnsl Psych-Sup Prac 3","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"910
Rehab Cnsl Psych-Internship","001","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"920","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Cnsl Supvn","Course Total","","2","***","","","","","","","","","","","","","","","",""
"921","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship: Adv Prof Pract","Course Total","","5","***","","","","","","","","","","","","","","","",""
"930
Rehab Cnsl Psych-Prac Tchng","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940
Rehab Cnsl Psych-Supv Rsch","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"941","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"941","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship: Research","Course Total","","8","4.000","50.0",".",".",".",".",".",".",".",".",".",".","37.5","12.5",".",".","."
"980
Adult Cognitive Assessment","001","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"984
Smr:Princ of Behavior Chnge","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","8","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","28","",".",".",".",".",".",".",".","46.4",".",".",".","53.6",".",".",".","."
