"EGR","","","","","","","","","","","","","","","","","","","",""
"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"M E
612","Dept. Total","3152","3.233","29.4","21.2","22.9","11.4","6.5","1.1","0.9","3.4","0.0","0.1","",".","2.5","0.3","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","15","2.591","20.0",".","20.0","33.3","13.3","6.7","6.7",".",".",".","",".",".",".",".",".","."
"Sophomore","","220","3.057","25.5","20.9","19.1","22.3","6.8","2.3","3.2",".",".",".","",".",".",".",".",".","."
"Junior","","690","3.133","23.2","24.2","27.0","13.6","9.1","1.3","1.2",".",".",".","",".",".","0.1","0.3",".","."
"Senior","","1607","3.191","27.4","23.1","27.7","12.2","7.4","1.1","0.8","0.1",".",".","",".",".","0.2","0.1",".","."
"Undergraduates","","2532","3.164","26.0","23.1","26.7","13.6","7.9","1.3","1.1","0.0",".",".","",".",".","0.2","0.1",".","."
"Special","","67","3.283","31.3","19.4","29.9","9.0","6.0","1.5",".","3.0",".",".","",".",".",".",".",".","."
"Graduate","","553","3.745","44.5","12.8","4.7","1.4","0.4","0.2",".","19.0","0.2","0.4","",".","14.5","1.1","0.2","0.7","."
"","Dept. Total","3152","3.233","29.4","21.2","22.9","11.4","6.5","1.1","0.9","3.4","0.0","0.1","",".","2.5","0.3","0.1","0.1","."
