"L&S","","","","","","","","","","","","","","","","","","","","",""
"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","","",""
"SOC WORK
896","Dept. Total","1986","3.678","55.7","27.9","9.1","3.1","1.4","0.5","0.2","0.9","",".",".","",".","0.2","0.9",".","0.2","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","50","3.883","92.0","2.0","2.0","2.0",".","2.0",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","82","3.397","24.4","51.2","13.4","7.3","1.2","2.4",".",".","",".",".","",".",".",".",".",".","."
"Junior","","229","3.455","34.1","43.2","13.5","3.9","2.2","1.7","0.9","0.4","",".",".","",".",".",".",".",".","."
"Senior","","361","3.657","60.4","22.7","9.1","4.7","1.7","0.8",".","0.6","",".",".","",".",".",".",".",".","."
"Undergraduates","","722","3.571","50.1","31.0","10.5","4.6","1.7","1.4","0.3","0.4","",".",".","",".",".",".",".",".","."
"Special","","27","3.631","44.4","33.3","11.1","7.4",".",".",".",".","",".",".","",".",".",".",".","3.7","."
"Graduate","","1231","3.764","59.4","26.1","8.3","2.1","1.2",".","0.1","0.9","",".",".","",".","0.3","1.4",".","0.2","0.1"
"Prof Yr 2","","5","4.000","20.0",".",".",".",".",".",".","80.0","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","6","4.000","33.3",".",".",".",".",".",".","66.7","",".",".","",".",".",".",".",".","."
"","Dept. Total","1986","3.678","55.7","27.9","9.1","3.1","1.4","0.5","0.2","0.9","",".",".","",".","0.2","0.9",".","0.2","0.1"
