"EDU","","","","","","","","","","","","","","","","","","","",""
"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"719
Intro to Qualitative Research","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"732
Foundations of Science Educ","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"744
Perspectvs-Multicultrl Educ","001","","30","3.979","76.7","3.3",".",".",".",".",".","16.7",".",".",".",".","3.3",".",".","."
"746
Adult Learner:Implictn for C&I","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"765
Globalization and Teaching","001","","9","4.000","77.8",".",".",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"788
Qual Rsch Mthds-Educ: Field I","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"811
Instruction of Mathematics","001","","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"830
Theory & Dsgn of the Curric","001","","16","3.955","62.5","6.3",".",".",".",".",".",".",".",".",".",".","31.3",".",".","."
"855
Issues-Elementary Education","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"860
Supervisn-Teacher Education","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"960
Seminar-Science Education","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"975","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"975","002","","6","3.700","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"975","003","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"975","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"975","006","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"975","007","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"975","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"General Seminar","Course Total","","53","3.912","83.0","9.4","3.8",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"990","001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","8","",".",".",".",".",".",".",".","75.0",".",".",".","25.0",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","16","",".",".",".",".",".",".",".","75.0","12.5",".",".","12.5",".",".",".","."
"990","022","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","9","",".",".",".",".",".",".",".","88.9","11.1",".",".",".",".",".",".","."
"990","056","","15","",".",".",".",".",".",".",".","6.7",".",".",".","46.7","46.7",".",".","."
"990","057","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","067","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","072","","8","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","075","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","","Page 86 of 403"
