"GEOLOGICAL ENGINEERING","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"418
G L E","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Geological Engr","171","001","","68","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prob Solv Using Cmptr Tools","291","001","","19","3.263","21.1","26.3","42.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Soil Mechanics","330","002","","9","2.833","22.2","11.1","22.2","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"Intro Geophysics:Dynmic  Earth","350","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elementary Petrology","370","001","","19","3.053","31.6","21.1","15.8","10.5","15.8",".","5.3",".",".",".",".",".",".",".",".","."
"Inter Envir Remote Sensing","372","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract Appl of GPS Surveying","444","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Structural Geology","455","001","","23","3.000","13.0","13.0","47.8","13.0","13.0",".",".",".",".",".",".",".",".",".",".","."
"Rock Mechanics","474","001","","39","3.333","23.1","30.8","35.9","10.3",".",".",".",".",".",".",".",".",".",".",".","."
"Geological Engr Design","479","001","","33","3.606","51.5","24.2","21.2",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"Contaminant Hydrogeology","629","001","","9","3.167",".","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Remediation Geotechnics","635","001","","10","3.150","20.0","20.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"","699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Unsaturated Soil Geoengr","732","001","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","075","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","","Course Total","","8","",".",".",".",".",".",".",".","87.5",".",".",".","12.5",".",".",".","."
"","890","072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","890","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Seminar","900","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","999","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
