"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","224
001","136","3.592","59.6","21.3","6.6","4.4","7.4","0.7",".",".",".",".",".",".",".",".",".","."
"","002
224","93","3.527","54.8","17.2","12.9","7.5","5.4","1.1",".",".",".",".",".",".",".",".","1.1","."
"Intro Stats for Engineers","Course Total","229","3.566","57.6","19.7","9.2","5.7","6.6","0.9",".",".",".",".",".",".",".",".","0.4","."
"","301
001","140","3.229","35.0","22.9","21.4","10.0","4.3","5.0","1.4",".",".",".",".",".",".",".",".","."
"","003
301","120","2.836","27.5","15.0","24.2","4.2","12.5","10.8","5.0",".",".",".",".",".",".",".",".","0.8"
"","005
301","88","2.695","22.7","12.5","21.6","4.5","20.5","14.8","2.3",".","1.1",".",".",".",".",".",".","."
"","007
301","214","2.833","19.6","15.0","27.6","14.5","11.7","8.9","2.3",".",".",".",".",".",".","0.5",".","."
"Intro-Statistical Methods","Course Total","562","2.911","25.6","16.5","24.4","9.6","11.4","9.3","2.7",".","0.2",".",".",".",".","0.2",".","0.2"
"Acc Intro to Stat Meth","302
001","44","3.136","36.4","15.9","25.0","6.8","9.1","2.3","4.5",".",".",".",".",".",".",".",".","."
"","309
001","24","3.229","37.5","8.3","33.3","4.2","16.7",".",".",".",".",".",".",".",".",".",".","."
"","002
309","27","3.000","33.3",".","33.3","7.4","22.2","3.7",".",".",".",".",".",".",".",".",".","."
"Intro to Prob & Math Stat I","Course Total","51","3.108","35.3","3.9","33.3","5.9","19.6","2.0",".",".",".",".",".",".",".",".",".","."
"","310
001","17","3.324","29.4","29.4","23.5","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","002
310","37","3.203","32.4","18.9","27.0","10.8","8.1",".","2.7",".",".",".",".",".",".",".",".","."
"Intro to Prob & Math Stat II","Course Total","54","3.241","31.5","22.2","25.9","11.1","7.4",".","1.9",".",".",".",".",".",".",".",".","."
"","311
001","49","3.122","34.7","12.2","28.6","12.2","4.1","6.1","2.0",".",".",".",".",".",".",".",".","."
"","311
002","44","3.273","25.0","25.0","38.6","6.8","2.3","2.3",".",".",".",".",".",".",".",".",".","."
"","311
003","50","3.260","40.0","12.0","24.0","12.0","10.0","2.0",".",".",".",".",".",".",".",".",".","."
"Intro Math Sat (Theo, Meth) I","Course Total","143","3.217","33.6","16.1","30.1","10.5","5.6","3.5","0.7",".",".",".",".",".",".",".",".","."
"","312
001","49","3.245","26.5","34.7","22.4","2.0","12.2",".","2.0",".",".",".",".",".",".",".",".","."
"","312
002","50","3.370","32.0","30.0","22.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Intro Math Stat (Theo,Meth) II","Course Total","99","3.308","29.3","32.3","22.2","7.1","8.1",".","1.0",".",".",".",".",".",".",".",".","."
"","324
001","94","2.828","22.3","10.6","22.3","8.5","30.9","3.2","1.1",".",".",".",".",".",".",".",".","1.1"
"","002
324","71","2.789","21.1","14.1","21.1","14.1","19.7","7.0","2.8",".",".",".",".",".",".",".",".","."
"Intro Applied Stats for Engrs","Course Total","165","2.811","21.8","12.1","21.8","10.9","26.1","4.8","1.8",".",".",".",".",".",".",".",".","0.6"
"","327
001","43","3.592","46.5","25.6","14.0",".",".",".","2.3","4.7",".",".",".",".",".",".","4.7","2.3"
"","327
002","29","3.854","65.5","13.8",".","3.4",".",".",".","10.3",".",".",".",".",".","6.9",".","."
"","327
003","17","4.000","94.1",".",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","327
004","42","3.429","40.5","23.8","23.8","4.8","7.1",".",".",".",".",".",".",".",".",".",".","."
"","327
005","25","3.688","72.0","8.0","8.0","4.0",".","4.0",".",".",".",".",".",".",".",".","4.0","."
"","327
006","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Learning a Stat Lang","Course Total","169","3.669","59.2","17.8","10.7","2.4","1.8","0.6","0.6","3.6",".",".",".",".",".","1.2","1.8","0.6"
"Applied Regression Analysis","333
001","44","3.146","25.0","34.1","9.1","15.9","2.3","2.3","4.5","6.8",".",".",".",".",".",".",".","."
"Introduction to Time Series","349
001","44","3.372","31.8","31.8","20.5","4.5","9.1",".",".","2.3",".",".",".",".",".",".",".","."
"","371
001","141","3.167","35.5","14.9","23.4","15.6","5.7","2.1","2.8",".",".",".",".",".",".",".",".","."
"","002
371","144","3.094","30.6","16.7","22.9","11.8","13.2","4.2","0.7",".",".",".",".",".",".",".",".","."
"","371
003","128","3.301","44.5","14.1","21.1","8.6","7.8","2.3","1.6",".",".",".",".",".",".",".",".","."
"","371
004","227","3.277","39.2","14.1","24.2","11.9","7.9","1.8","0.4",".",".",".",".",".","0.4",".",".","."
"Intro Applied Stats-Life Sci","Course Total","640","3.216","37.5","14.8","23.1","12.0","8.6","2.5","1.3",".",".",".",".",".","0.2",".",".","."
"Intro-Survey Theory & Meths","411
001","50","3.390","30.0","34.0","28.0","4.0","2.0","2.0",".",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design","424
001","50","3.520","46.0","28.0","16.0","4.0","6.0",".",".",".",".",".",".",".",".",".",".","."
"","431
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","Page 327 of 430",""
