"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","5","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","7","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","17","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","30","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","33","4.000","97.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","3.0","."
"Prof Yr 1","","5","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 2","","6","3.400","66.7",".","16.7",".","",".","",".","",".","16.7","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","63","3.438","36.5","22.2","38.1","1.6","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","1.6"
"Prof Yr 4","","19","3.152","21.1","5.3","26.3","5.3","",".","",".","",".","42.1","",".",".","",".","",".","",".",".",".","."
"Professionals","","93","3.411","38.7","16.1","32.3","2.2","",".","",".","",".","9.7","",".",".","",".","",".","",".",".",".","1.1"
