"HUMAN ONCOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","","","","","",""
"699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","156","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","158","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","159","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","161","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Stdy-Hum Cancer Bio","Course Total","","16","3.974","87.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","6.3","."
"922","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Radiation Oncology-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"990
Rsch in Human Cancer Bio","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"H ONCOL
480","Dept. Total","","19","3.884","73.7","5.3","10.5",".",".",".",".","5.3",".",".",".",".",".",".","5.3","."
