"COMMUNITY & ENVIRONMENTA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"864
C&E SOC","","","","","","","","","","","","","","","","","","","",""
"140","001","","13","2.962","38.5","15.4","15.4","7.7","7.7","7.7","7.7",".",".",".",".",".",".",".",".","."
"140","002","","14","3.679","50.0","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Community & Envir Soc","Course Total","","27","3.333","44.4","25.9","14.8","3.7","3.7","3.7","3.7",".",".",".",".",".",".",".",".","."
"210
Survey of Sociology","001","","32","3.406","18.8","56.3","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"211
The Sociological Enterprise","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"248
Envir, Nat Resources & Society","001","","20","3.325","30.0","45.0","15.0",".","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"260
Latin America-Introduction","001","","10","3.500","50.0","20.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"357
Meth-Sociological Inquiry","001","","12","3.625","58.3","8.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"360
Stats for Sociologists I","001","","12","2.792","16.7","16.7","16.7","8.3","41.7",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","20","3.250","20.0","40.0","15.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"399","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","075","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"500
Capstone Experience","001","","11","3.300","27.3","18.2","27.3","18.2",".",".",".",".",".",".",".",".","9.1",".",".","."
"533
Public Hlth-Rural & Urban Comm","001","","15","3.643","40.0","40.0","13.3",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"540
Soc-Int'l Dev, Envir&Sustain","001","","16","3.767","56.3","31.3","6.3",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"565
Ethics of Modern Biotechnology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"573
Community Organization&Change","001","","11","3.545","72.7",".","18.2",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"578
Poverty and Place","001","","8","2.643","25.0","37.5",".",".",".",".","25.0","12.5",".",".",".",".",".",".",".","."
"630
Soc:Devlp Societies/3rd Wld","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"693
Pract-Analysis & Research","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","2","***","","","","","","","","","","","","","","","",""
"708
Soc Risk Mgmt-Tech Hazards","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"731
InterSocPsych-Group&Collect","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","4","***","","","","","","","","","","","","","","","",""
"993
Research:Soc of Econ Chnge","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading and Research","Course Total","","2","***","","","","","","","","","","","","","","","",""
