"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"COMP BIO","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","3","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","3","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Senior","10","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","16","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Special","4","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","17","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","336","3.438","45.2","16.1","27.4","6.3","4.5","0.3","0.3",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","168","3.350","28.6","28.6","25.6","6.5","10.1",".",".",".","",".",".","",".","",".","0.6",".",".","."
"Prof Yr 3","2","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 4","26","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"Professionals","532","3.409","37.6","19.2","25.4","6.0","6.0","0.2","0.2","5.3","",".",".","",".","",".","0.2",".",".","."
