"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","259","3.216","9.7","44.8","29.0","12.7","2.3","0.4","0.4","0.4",".",".",".",".","0.4",".",".","."
"","002
300","226","3.212","8.8","45.1","31.9","10.6","2.7","0.4","0.4",".",".",".",".",".",".",".",".","."
"","003
300","164","3.083","3.0","47.6","29.3","10.4","4.9","4.3",".","0.6",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","649","3.181","7.7","45.6","30.0","11.4","3.1","1.4","0.3","0.3",".",".",".",".","0.2",".",".","."
"","305
001","48","3.427","22.9","45.8","27.1","2.1","2.1",".",".",".",".",".",".",".",".",".",".","."
"","305
002","47","3.326","25.5","34.0","23.4","12.8",".","2.1",".",".",".",".",".",".","2.1",".",".","."
"","305
003","50","3.327","20.0","36.0","32.0","8.0","2.0",".",".","2.0",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","145","3.360","22.8","38.6","27.6","7.6","1.4","0.7",".","0.7",".",".",".",".","0.7",".",".","."
"","310
001","31","3.355","19.4","35.5","41.9","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","36","3.347","19.4","33.3","44.4","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"","310
003","33","3.470","30.3","48.5","12.1","3.0","6.1",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","100","3.390","23.0","39.0","33.0","3.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"","365
002","48","3.798","64.6","27.1","6.3",".",".",".",".","2.1",".",".",".",".",".",".",".","."
"","365
003","38","3.408","21.1","50.0","18.4","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","86","3.624","45.3","37.2","11.6","4.7",".",".",".","1.2",".",".",".",".",".",".",".","."
"","399
029","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
117","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","4","***","","","","","","","","","","","","","","","",""
"","415
001","42","3.393","33.3","28.6","33.3","2.4",".",".","2.4",".",".",".",".",".",".",".",".","."
"","415
002","51","3.500","35.3","31.4","31.4","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Communications","Course Total","93","3.452","34.4","30.1","32.3","2.2",".",".","1.1",".",".",".",".",".",".",".",".","."
"Global Marketing Strategy","420
001","33","3.636","54.5","30.3","3.0","12.1",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","421
001","30","3.617","43.3","36.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Procurement & Supply Managemnt","002
423","36","3.389","33.3","27.8","22.2","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Enterprise Sys & Supply Chain","427
001","51","3.373","21.6","35.3","39.2","3.9",".",".",".",".",".",".",".",".",".",".",".","."
"","460
001","40","3.500","40.0","25.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","460
002","41","3.280","17.1","39.0","26.8","17.1",".",".",".",".",".",".",".",".",".",".",".","."
"","460
003","33","3.379","30.3","24.2","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","114","3.386","28.9","29.8","30.7","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","640
001","15","3.233","20.0","40.0","20.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"","640
002","21","3.175","9.5","23.8","52.4","9.5",".",".",".",".",".",".",".",".",".","4.8",".","."
"Retail Management","Course Total","36","3.200","13.9","30.6","38.9","8.3","5.6",".",".",".",".",".",".",".",".","2.8",".","."
"Marketing Research","710
001","24","3.688","45.8","45.8","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Communications","715
001","24","3.688","45.8","45.8","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Global Sourcing","724
001","14","3.692","57.1","14.3","21.4",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Enterprise Sys & Supply Chain","727
001","43","3.709","55.8","30.2","14.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Developg New Products:Practicm","737
001","24","3.688","41.7","54.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","20","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","41","3.793","80.5","9.8",".","7.3","2.4",".",".",".",".",".",".",".",".",".",".","."
"","765
004","12","3.625","25.0","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
005","43","3.523","44.2","23.3","25.6","7.0",".",".",".",".",".",".",".",".",".",".",".","."
