"ENTOMOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"355
ENTOM","","","","","","","","","","","","","","","","","","","",""
"201
Insects and Human Culture","001","","125","3.823","76.8","12.8","7.2","1.6","0.8",".",".","0.8",".",".",".",".",".",".",".","."
"203
Introduction to Global Health","001","","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","11","3.952","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"302
Introduction to Entomology","001","","27","3.442","44.4","18.5","22.2","7.4",".","3.7",".","3.7",".",".",".",".",".",".",".","."
"331
Taxonomy of Mature Insects","001","","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"450
Basic & Applied Insect Ecology","001","","13","3.269","53.8","7.7","15.4",".","15.4","7.7",".",".",".",".",".",".",".",".",".","."
"451
Basic/Applied Insect Ecol Lab","001","","8","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"500
Insects in Forest Ecol & Mgmt","001","","13","2.962","30.8","15.4","23.1","7.7","7.7","15.4",".",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"632
Ecotox: The Chemical Players","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"633
Ecotox: Impacts on Individuals","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"634
Ecotox: Populatn, Comm, Ecosys","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","18","3.943","88.9",".","5.6",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"711
Mulitivar Analysis Ecol Data","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"801
Colloquium","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Research & Thesis","Course Total","","23","",".",".",".",".",".",".",".","34.8",".",".",".","65.2",".",".",".","."
