"ENGR MECHANICS & ASTRONA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","234","2.618","16.7","4.7","40.6","3.4","20.1","8.1","6.4",".",".",".",".",".",".",".",".","."
"","002
201","201","2.575","12.9","4.0","37.3","7.0","26.4","8.5","3.5",".",".",".",".",".","0.5",".",".","."
"Statics","Course Total","435","2.598","14.9","4.4","39.1","5.1","23.0","8.3","5.1",".",".",".",".",".","0.2",".",".","."
"","202
001","85","3.106","12.9","31.8","32.9","12.9","7.1","2.4",".",".",".",".",".",".",".",".",".","."
"","002
202","56","3.009","8.9","26.8","46.4","10.7","1.8","1.8","3.6",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","141","3.067","11.3","29.8","38.3","12.1","5.0","2.1","1.4",".",".",".",".",".",".",".",".","."
"Projects in EMA","291
001","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","303
001","135","2.789","17.8","22.2","19.3","14.1","14.8","7.4","4.4",".",".",".",".",".",".",".",".","."
"","307
001","7","3.429","57.1","14.3",".","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","307
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
003","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
307","6","3.417","16.7","66.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","006
307","6","3.417","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","007
307","6","3.167","16.7","33.3","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","307
008","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
009","10","3.650","30.0","70.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
307","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
307","9","3.444","11.1","66.7","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
012","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","013
307","6","3.250","33.3","33.3",".","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","014
307","6","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","90","3.517","34.4","46.7","8.9","7.8","2.2",".",".",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Finite Elements","405
003","36","3.597","44.4","36.1","16.7",".","2.8",".",".",".",".",".",".",".",".",".",".","."
"","471
002","17","3.471","35.3","23.5","41.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
471","12","3.636","58.3","16.7","8.3",".","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"Intermed Problem Solving-Engrs","Course Total","29","3.536","44.8","20.7","27.6",".","3.4",".",".","3.4",".",".",".",".",".",".",".","."
"Intro-Sci Comput for Engr Phys","476
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fracture Mechanics","519
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Aerodynamics Lab","522
001","17","3.294","11.8","35.3","52.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Flight Dynamics and Control","523
001","9","3.056","44.4","33.3",".",".",".","11.1","11.1",".",".",".",".",".",".",".",".","."
"Mechanical Vibrations","545
001","47","2.543","34.0","6.4","8.5","12.8","14.9","8.5","14.9",".",".",".",".",".",".",".",".","."
"Astrodynamics","550
001","44","3.852","93.2","2.3",".",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"Senior Design Project","569
001","32","3.297","28.1","15.6","46.9","6.3","3.1",".",".",".",".",".",".",".",".",".",".","."
"Experimental Mechanics","570
001","7","3.357","14.3","42.9","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
045","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
055","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","4","***","","","","","","","","","","","","","","","",""
"","601
002","11","3.850","63.6","27.3",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","601
003","6","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
