"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"489","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"491","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"491","015","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"491","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"491","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"491","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","071","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"491","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","092","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"491","093","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Mech Engr Projects I","Course Total","","29","3.946","89.7","10.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"492","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"492","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"492","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"492","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mech Engr Projects II","Course Total","","4","***","","","","","","","","","","","","","","","",""
"514
Additive Manufacturing","001","","27","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"539
Intro-Artificl Neural Ntwrk","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"558
Intro-Computationl Geometry","001","","7","3.750","42.9","42.9",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"563
Intermediate Fluid Dynamics","001","","27","3.315","18.5","37.0","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"564
Heat Transfer","001","","48","3.617","50.0","25.0","18.8","4.2",".",".",".","2.1",".",".",".",".",".",".",".","."
"566
Cryogenics","001","","13","3.462","38.5","30.8","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"570
Experimental Mechanics","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"573
Computational Fluid Dynamics","002","","16","3.844","81.3","6.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"577
Automatic Controls Lab","001","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"601","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"601","046","","46","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"601","071","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Mech Engr","Course Total","","64","4.000","28.1",".",".",".",".",".",".","71.9",".",".",".",".",".",".",".","."
"603
Topics-Bio-Medical Engr","002","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"641
Design & Anal-Manufact Sys","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","Page 146 of 435",""
