"","919
006","","2","***","","","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"","919
009","","1","***","","","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"","919
043","","1","***","","","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","8","4.000","87.5","",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","12.5","."
"NEURSURG
678","Dept. Total","","43","4.000","97.7","",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","2.3","."
"Summary by Level","","#","","Ave","A","AB","","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"678
NEURSURG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","***","","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","","5","***","","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","","7","4.000","100.0","",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","22","4.000","100.0","",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","35","4.000","100.0","",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","","1","***","","","","","","","","","","","","","","","","","",".","",".","",".","",".",".","100.0","."
"Prof Yr 4","","","7","4.000","100.0","",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","8","4.000","87.5","",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","12.5","."
"","Dept. Total","","43","4.000","97.7","",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","2.3","."
