"TERM : 1164","","","","Percentage Distribution of Grades","","","","","","","","","","","","Office of the Registrar",""
"Spring 2015-2016","","","","","","","","","","","","","","","","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","",""
"TRANSPORTATION AND PUBLIC  Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR
Other"
"","Grades","GPA","","","","","","","","","","","","","","",""
"243","","","","","","","","","","","","","","","","",""
"Energy Economics","671
001
6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".   
."
"243","6
Dept. Total","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".  
."
"June 30, 2016","","","","","","","","","","","","","","","","","Page 74 of 435"
"* Please note: This report does not combine crosslisted courses","","","","","","","","","","","","","","","","",""
"","*** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.","","","","","","","","","","","","","","","",""
