"","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"999","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","058","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"999","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","061","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","069","","7","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"999","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Course Total","","30","3.952","56.7",".","3.3",".",".",".",".","10.0",".",".",".","23.3","3.3",".","3.3","."
