"CHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"996","079","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"996","082","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"996","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Materials Chemistry","Course Total","","56","",".",".",".",".",".",".",".","92.9","1.8",".",".","5.4",".",".",".","."
"998","001","","8","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"998","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"998","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"998","034","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"998","036","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"998","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"998","048","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"998","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"998","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"998","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"998","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"998","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"998","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"998","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Chemical Biology","Course Total","","39","",".",".",".",".",".",".",".","69.2",".",".",".","30.8",".",".",".","."
