"L&S","","","","","","","","","","","","","","","","","","","",""
"GERMAN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","",""
"313
3rd Sem Dutch-Grad Stdts","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"325
Topics in Dutch Literature","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"337
Adv Compositn & Conversatn","001","","12","3.708","58.3","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"351
Intro to German Linguistics","001","","25","3.640","52.0","36.0","4.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"372","001","","20","3.775","65.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"372","002","","17","4.000","94.1",".",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"372","003","","13","3.625","46.2","38.5",".",".","7.7",".",".","7.7",".",".",".",".",".",".",".","."
"Topics in German Culture","Course Total","","50","3.813","70.0","20.0","4.0",".","2.0",".",".","4.0",".",".",".",".",".",".",".","."
"391
German for Grad Reading I","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"401","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"401","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"401","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"401","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"401","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Sem German for Grad Stdts","Course Total","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"402
2nd Sem German for Grad Stdts","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"403","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"403","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"3rd Sem German for Grad Stdts","Course Total","","5","***","","","","","","","","","","","","","","","",""
"404","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"404","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Sem German for Grad Stdts","Course Total","","3","***","","","","","","","","","","","","","","","",""
"645
Cultuurkunde der Lage Landen","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"676
Adv Seminar in German Studies","001","","10","3.450","60.0","30.0",".",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"699
Directed Study","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"720
College Teaching of German","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"722
Theory of Teaching German","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"727
Topics-Applied Linguistics","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"755
Old Germanic Languages","001","","7","4.000","71.4",".",".",".",".",".",".","14.3",".",".",".",".","14.3",".",".","."
"758
Topics-Contemporary German","001","","11","3.950","81.8","9.1",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"799","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"804
Interdis W Europ Studies Sm","001","","9","3.938","77.8","11.1",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"948
Seminar-German Lit & Culture","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research in Lit","Course Total","","7","",".",".",".",".",".",".",".","14.3",".",".",".","85.7",".",".",".","."
"991","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","","Page 233 of 423",""
