"ALS","","","","","","","","","","","","","","","","","","","",""
"HORTICULTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","",""
"120
Survey of Horticulture","001","","72","3.254","20.8","33.3","18.1","12.5","4.2",".","1.4","6.9",".",".",".",".","2.8",".",".","."
"121
Horticulture Colloquium","001","","15","3.846","60.0","26.7",".",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"234
Ornamental Plants","001","","10","3.450","40.0","20.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"261
Turf Management","001","","15","3.467","60.0","13.3","13.3",".","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"262
Turfgrass Management Lab","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"263
Landscape Plants I","001","","12","2.708","8.3","16.7","25.0","25.0","16.7","8.3",".",".",".",".",".",".",".",".",".","."
"299","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"309
Diseases of Trees and Shrubs","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"320
Environment of Hort Plants","001","","11","3.500","36.4","27.3","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"332
Turfgrass Nutrient&Water Mgmt","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"350
Plants and Human Wellbeing","001","","43","3.388","39.5","14.0","32.6","2.3","2.3",".","2.3","7.0",".",".",".",".",".",".",".","."
"370
World Vegetable Crops","001","","38","3.095","28.9","23.7","21.1","5.3","10.5","5.3","2.6","2.6",".",".",".",".",".",".",".","."
"375
Special Topics","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"376
Tropical Horticultural Systems","001","","20","3.725","80.0","10.0",".","5.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"571","001","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"571","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","","9","3.556","22.2","66.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","5","***","","","","","","","","","","","","","","","",""
"799
Pract-Horticulture Teaching","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","005","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"957
Seminar-Plant Breeding","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","6","",".",".",".",".",".",".",".","66.7","33.3",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","","","Page 30 of 423"
