"PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"681","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"682
Senior Honors Thesis","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"686
Honors Seminar in Psych","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"691","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"691","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduate Thesis","Course Total","","12","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"692
Undergraduate Thesis","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"695
Probs-Clinical Psychology","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","26","3.937","96.2",".",".",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"701
Prosmr-Experimental Psych","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"703
Prosmr in Social Psychology","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"704
Proseminar-Clinical Psych","001","","18","4.000","94.4",".",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"706
Prosmr-Developmental Psych","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"707
Proseminar-Biological Psych","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"711","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"711","002","","12","4.000","91.7",".",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"711","003","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"711","005","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics in Psych","Course Total","","40","4.000","97.5",".",".",".",".",".",".","2.5",".",".",".",".",".",".",".","."
"770
Human-Computer Interaction","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","","Page 302 of 423",""
