"STATISTICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","",""
"860
Estimatn of Function from Data","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","088","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","110","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","112","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","114","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","118","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","120","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","134","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","146","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","160","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","165","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","195","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","231","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","240","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","242","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","251","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","255","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","256","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","261","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","262","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","299","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","50","",".",".",".",".",".",".",".","68.0",".",".",".","32.0",".",".",".","."
"992
Seminar","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"998
Statistical Consulting","001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
