"MED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANATOMY","Section","#","","Ave","A","AB","","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"144
ANATOMY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Microscopy of Life","619
001","","2","***","","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Topics in Anatomy","675
021","","35","4.000","100.0","",".","",".",".","","",".","",".","",".",".",".","",".",".","",".","","",".",".",".","."
"Clinicl Anatomy & Radiology","722
004","","12","4.000","100.0","",".","",".",".","","",".","",".","",".",".",".","",".",".","",".","","",".",".",".","."
"","990
055","","2","***","","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"","990
057","","2","***","","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Research and Thesis","Course Total","","4","***","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANATOMY
144","Dept. Total","","53","4.000","92.5","",".","",".","",".","",".","",".","",".","7.5","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"144
ANATOMY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","7","4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","30","4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","37","4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","4","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","12","4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","12","4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","53","4.000","92.5","",".","",".","",".","",".","",".","",".","7.5","",".",".","",".","",".","",".",".",".","."
