"","990
294","1","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"","990
297","1","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"","990
298","1","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Research","Course Total","20","",".",".",".",".","",".","",".","",".","65.0","",".",".","",".","25.0",".",".","10.0","."
"MEDICINE
632","Dept. Total","502","3.687","66.3","14.7","9.6",".","",".","",".","",".","5.0","",".",".","",".","1.0","2.2",".","0.6","0.6"
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","10","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","48","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","59","3.963","94.9","3.4","1.7",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","118","3.982","97.5","1.7","0.8",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Special","","2","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","","21","4.000","9.5",".",".",".","",".","",".","",".","61.9","",".",".","",".","19.0",".",".","9.5","."
"Prof Yr 2","","8","3.652","87.5",".","12.5",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","","98","3.382","23.5","23.5","37.8",".","",".","",".","",".",".","",".",".","",".","1.0","11.2",".",".","3.1"
"Prof Yr 4","","255","3.838","72.5","18.8","3.5",".","",".","",".","",".","4.7","",".",".","",".",".",".",".","0.4","."
"Professionals","","361","3.627","59.6","19.7","13.0",".","",".","",".","",".","3.3","",".",".","",".","0.3","3.0",".","0.3","0.8"
"","Dept. Total","502","3.687","66.3","14.7","9.6",".","",".","",".","",".","5.0","",".",".","",".","1.0","2.2",".","0.6","0.6"
