"BUS","","","","","","","","","","","","","","","","","","",""
"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"","120
001","22","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
120","22","3.841","72.7","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
120","22","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
120","26","3.865","80.8","11.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
120","24","3.833","79.2","12.5","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","120
012","21","3.476","57.1","19.0","9.5","9.5",".",".","4.8",".",".",".",".",".",".",".",".","."
"","120
014","20","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","015
120","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","016
120","23","3.870","82.6","8.7","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","017
120","22","3.750","68.2","22.7",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","018
120","22","3.864","81.8","13.6",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","019
120","21","3.881","85.7","4.8","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","120
022","17","3.853","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","120
024","22","3.682","59.1","27.3","9.1",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","120
025","22","3.750","68.2","18.2","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","027
120","22","3.614","68.2","13.6","9.1",".","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"","029
120","24","3.875","79.2","16.7","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","120
032","22","3.773","63.6","31.8",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","120
033","23","3.826","78.3","13.0","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","120
034","20","3.625","60.0","15.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","035
120","16","3.688","62.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","120
036","17","3.912","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pers & Prof Foundation in Bus","Course Total","474","3.797","74.5","16.2","5.7","2.7","0.4","0.2","0.2",".",".",".",".",".",".",".",".","."
"","130
003","22","3.773","86.4","9.1",".",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"","130
005","23","3.674","56.5","26.1","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","130
007","19","3.711","52.6","36.8","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","130
008","26","3.750","73.1","15.4","3.8","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"","130
010","25","3.440","56.0","20.0","12.0","4.0",".","4.0","4.0",".",".",".",".",".",".",".",".","."
"","012
130","23","3.478","52.2","8.7","26.1","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"Pers & Prof Foundation in Bus","Course Total","138","3.634","63.0","18.8","10.9","3.6","1.4","0.7","1.4",".",".",".",".",".",".",".",".","."
"Facilitation in Peer Env","140
043","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
001","25","3.780","56.0","44.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","25","3.880","80.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","24","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
300","26","3.673","50.0","38.5","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","300
005","27","3.926","85.2","14.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
006","25","3.780","56.0","44.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
300","26","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
008","25","3.920","84.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
009","26","3.750","53.8","42.3","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
010","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
300","22","3.886","77.3","22.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
012","26","3.692","69.2","23.1","3.8",".",".",".","3.8",".",".",".",".",".",".",".",".","."
"","013
300","22","3.886","81.8","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
014","25","3.600","52.0","32.0","8.0",".","8.0",".",".",".",".",".",".",".",".",".",".","."
