"EDU","","","","","","","","","","","","","","","","","","",""
"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","144","3.947","90.3","5.6","1.4","0.7",".",".",".",".",".",".",".",".","2.1",".",".","."
"","002
301","144","3.941","91.0","6.9","1.4","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"","003
301","136","3.911","90.4","5.1","0.7","2.2",".","0.7",".",".",".",".",".",".","0.7",".",".","."
"Human Abilities & Learning","Course Total","424","3.933","90.6","5.9","1.2","1.2",".","0.2",".",".",".",".",".",".","0.9",".",".","."
"","320
001","197","3.585","58.9","17.3","11.2","5.1","6.1","0.5",".","0.5",".",".",".",".","0.5",".",".","."
"","002
320","122","3.835","78.7","11.5","6.6","1.6","0.8",".",".",".",".",".",".",".",".",".",".","0.8"
"Human Dev-Infancy&Childhood","Course Total","319","3.680","66.5","15.0","9.4","3.8","4.1","0.3",".","0.3",".",".",".",".","0.3",".",".","0.3"
"Human Develop-Adolescence","321
001","119","3.606","60.5","21.0","5.9","6.7","2.5","2.5",".",".",".",".",".",".","0.8",".",".","."
"Mind, Brain and Education","326
001","113","3.668","62.8","23.9","5.3","3.5","2.7","1.8",".",".",".",".",".",".",".",".",".","."
"Hum Devel Chldhood-Adolescn","331
001","69","3.514","34.8","42.0","14.5","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","470
013","6","3.929","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
029","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research Experience Ed Psych","Course Total","21","3.980","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Issues in Ed Psych","506
001","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Intro to Prof School Psych","540
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biological Basis of Behavior","542
001","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Found of Ed Measurement","570
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
001","29","3.983","96.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
002","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adol Dev in Educ Contexts","Course Total","55","3.991","98.2","1.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","699
025","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
031","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
047","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","38","4.000","97.4",".",".",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"Smr-Research in Ed Psych I","709
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
010","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
025","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
030","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","37","4.000","97.3",".",".",".",".",".",".",".",".",".",".",".","2.7",".",".","."
"Intro to Qualitative Research","719
001","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Child Development","720
001","14","3.607","28.6","64.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","21","3.619","42.9","38.1","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Socl, Emotionl&Behav Assessmnt","741
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessment of Acad Skill Probs","742
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
001","36","3.939","83.3","5.6","2.8",".",".",".",".","5.6",".",".",".",".","2.8",".",".","."
"","002
760","23","3.857","73.9","8.7","8.7",".",".",".",".","8.7",".",".",".",".",".",".",".","."
