"CLASSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","",""
"Med Term-Greek&Latin Origin","205
001","132","3.439","42.4","26.5","18.9","5.3","4.5","2.3",".",".",".",".",".",".",".",".",".","."
"Art & Archaeology-Ancient Rome","304
001","26","3.188","26.9","19.2","30.8","7.7",".","7.7",".","7.7",".",".",".",".",".",".",".","."
"The Romans","322
001","84","3.293","35.7","35.7","10.7","4.8","2.4","4.8","3.6",".",".",".",".",".","2.4",".",".","."
"Conspiracy in Anc and Mod Wrld","340
001","84","3.223","22.6","41.7","20.2","7.1","1.2","1.2","4.8","1.2",".",".",".",".",".",".",".","."
"Gendr&Sexualty-Classcl Wrld","351
001","49","3.688","55.1","24.5","18.4",".",".",".",".","2.0",".",".",".",".",".",".",".","."
"Classical Mythology","370
001","206","3.013","26.2","20.9","17.5","10.7","11.7","7.8","1.0","4.4",".",".",".",".",".",".",".","."
"Topics in Greek Culture","371
001","16","3.389","18.8","37.5","43.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Roman Culture","372
001","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Classical Culture","373
001","14","3.500","35.7","21.4","35.7",".",".",".",".",".",".",".",".",".",".",".","7.1","."
"Religion-Ancient Mediterranean","517
001","16","3.500","50.0","6.3","25.0","12.5",".",".",".","6.3",".",".",".",".",".",".",".","."
"Undergrad Smr:Classicl Wrld","591
001","6","3.900","66.7","16.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Directed Reading","699
058","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Art & Archaeology-Ancient Rome","704
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Ancient History","801
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Seminar","900
001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"CLASSICS
244","Dept. Total","661","3.292","35.1","27.1","18.3","6.5","5.0","3.9","1.4","2.3",".",".",".",".","0.3",".","0.2","."
