"E ASIAN LANGUAGES & LITERA Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","",""
"Second Semester Chinese","102","001","37","3.514","45.9","35.1",".","2.7","8.1","2.7",".","2.7","2.7",".",".",".",".",".",".","."
"","104","001","30","3.567","56.7","20.0","6.7","13.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"","104","002","35","3.828","68.6","14.3","8.6",".",".",".",".",".",".",".",".",".","8.6",".",".","."
"Second Semester Japanese","","Course Total","65","3.702","63.1","16.9","7.7","6.2","1.5",".",".",".",".",".",".",".","4.6",".",".","."
"Elementary Korean","106","001","29","3.862","82.8","13.8",".",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"","121","001","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","121","002","22","3.705","72.7","22.7",".",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"Elementary Chinese","","Course Total","41","3.793","78.0","17.1","2.4",".",".",".","2.4",".",".",".",".",".",".",".",".","."
"","123","001","19","3.579","26.3","63.2","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","123","002","23","3.826","78.3","13.0","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Japanese","","Course Total","42","3.714","54.8","35.7","7.1","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Chinese","202","001","35","3.721","74.3","11.4","5.7","2.9",".",".","2.9",".",".",".",".",".","2.9",".",".","."
"Fourth Semester Japanese","204","001","17","3.500","47.1","29.4","5.9","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"Genres-Asian Religious Writing","235","001","20","3.275","25.0","45.0","15.0","10.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"Intro-Japanese Culture&Civ","253","001","60","3.475","31.7","48.3","11.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","299","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Humanities Topics in EAS","300","001","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Chinese","302","001","21","3.825","76.2","14.3",".",".","4.8",".",".",".",".",".",".",".","4.8",".",".","."
"Sixth Semester Japanese","304","001","22","3.341","31.8","27.3","22.7","13.6","4.5",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Buddhism","308","001","24","3.479","37.5","41.7","4.2","12.5","4.2",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Chinese","312","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Chinese","318","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Japanese","","Course Total","5","***","","","","","","","","","","","","","","","",""
"1st Yr Classical Chinese","322","001","25","3.542","56.0","16.0","16.0",".","4.0","4.0",".",".",".",".",".",".","4.0",".",".","."
"Elementary Korean","326","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Korean","346","001","15","3.722","66.7","13.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Korean","348","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Chinese Literature","352","001","26","3.192","26.9","19.2","42.3","3.8","3.8",".","3.8",".",".",".",".",".",".",".",".","."
"Survey-Japanese Literature","354","001","18","3.333","33.3","16.7","38.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Masterworks: The Tale of Genji","361","001","21","3.450","38.1","33.3","9.5","4.8","9.5",".",".",".",".",".",".",".","4.8",".",".","."
"Topics-Chinese Literature","371","001","195","3.718","67.2","24.6","5.1",".","0.5","0.5","2.1",".",".",".",".",".",".",".",".","."
"","375","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","375","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Tech Japanese II","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Bus Japanese Communication","377","001","15","3.533","53.3","26.7","6.7",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"Business Chinese","379","001","20","3.725","60.0","25.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eighth Semester Chinese","402","001","13","3.846","84.6",".","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eighth Semester Japanese","404","001","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eighth Semester Korean","406","001","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
