"L&S","","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","",""
"MATH
600","Dept. Total","6171","2.919","29.0","12.2","23.1","11.4","15.5","5.2","2.7","0.6","0.0","0.0","",".","0.0","0.2",".",".","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","988","2.783","21.8","12.1","24.8","11.6","19.6","6.3","3.3","0.1",".",".","",".",".","0.2",".",".","0.1"
"Sophomore","","2326","2.875","24.2","13.4","24.6","12.9","16.9","5.3","2.5",".",".",".","",".",".","0.2",".",".","."
"Junior","","1310","2.888","25.6","11.8","25.3","13.2","16.4","5.2","2.4",".",".",".","",".",".",".",".",".","."
"Senior","","912","2.828","28.4","9.6","23.5","10.7","15.6","6.9","4.7","0.2",".","0.1","",".",".","0.2",".",".","."
"Undergraduates","","5536","2.852","24.8","12.2","24.6","12.4","17.1","5.7","3.0","0.1",".","0.0","",".",".","0.2",".",".","0.0"
"Special","","174","3.528","59.8","11.5","12.6","6.3","4.0","1.1","1.1","1.1",".",".","",".",".","1.7",".",".","0.6"
"Graduate","","461","3.762","68.1","12.6","8.2","1.1","1.5","0.2","0.4","6.5","0.4",".","",".","0.4","0.4",".",".","."
"","Dept. Total","6171","2.919","29.0","12.2","23.1","11.4","15.5","5.2","2.7","0.6","0.0","0.0","",".","0.0","0.2",".",".","0.0"
