"POLITICAL SCIENCE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","","",""
"African Amer Political Theory","519","001","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Socialism & Transitions Market","534","001","","13","3.458","30.8","30.8","23.1","7.7",".",".",".","7.7",".",".",".",".",".",".",".","."
"Intro to Survey Research","544","001","","29","3.328","13.8","65.5","10.3","6.9",".",".","3.4",".",".",".",".",".",".",".",".","."
"Intro Stat Computing-Poli Sci","553","001","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","601","001","","10","3.500","40.0","30.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","601","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","601","003","","15","3.667","80.0","13.3",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","601","004","","27","3.870","74.1","25.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","005","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosem: Topics in Poli Sci","","Course Total","","63","3.730","66.7","25.4","3.2","3.2",".",".","1.6",".",".",".",".",".",".",".",".","."
"Arab-Israeli Conflict","631","001","","18","3.222","27.8","38.9","16.7","5.6","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"Politcl Power-Contemp China","642","001","","19","3.368","36.8","26.3","21.1","5.3","10.5",".",".",".",".",".",".",".",".",".",".","."
"Pol&Society:Contemp E Europ","659","001","","16","3.656","56.3","25.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"African Politics","660","001","","15","3.833","86.7","6.7",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","681","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Senior Honors Thesis Smr","684","001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdy Abroad-Pol Sci:CmpartvPol","690","00A","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","056","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","064","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","075","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","13","3.925","84.6","7.7",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Research and Writing Seminar","801","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Inference Pol Research","813","001","","16","3.656","43.8","43.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Political Behavior","821","001","","11","3.591","36.4","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Game Theory&Political Analysis","835","001","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Environmentl Governance","866","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Policy-Making Process","874","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","900","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","900","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Political Science","","Course Total","","12","3.917","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","919","001","","12","3.833","50.0","25.0",".",".",".",".",".","16.7",".",".",".",".","8.3",".",".","."
"","919","003","","12","3.929","50.0","8.3",".",".",".",".",".","8.3",".",".",".",".","33.3",".",".","."
"Sem-Adv Methodology","","Course Total","","24","3.875","50.0","16.7",".",".",".",".",".","12.5",".",".",".",".","20.8",".",".","."
"Smr-Natl Security Affairs","945","001","","12","3.136","16.7","58.3",".",".","8.3",".","8.3",".",".",".",".",".","8.3",".",".","."
"Smr:Topics in Comp Politics","948","001","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
