"LANDSCAPE ARCHITECTURE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","","","",""
"History of Landscape Arch","260","001","","79","3.392","45.6","17.7","19.0","5.1","1.3","1.3","3.8","6.3",".",".",".",".",".",".",".","."
"Landscape Invntry&Eval Meth","262","001","","22","3.182","27.3","18.2","45.5",".","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"Independent Studies","299","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","312","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312","002","","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graphics for Designers","","Course Total","","20","3.750","55.0","40.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Promoting Environments","321","002","","11","3.545","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Housing and Urban Design","351","001","","14","3.654","35.7","50.0","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Landscape Arch Technology I","353","001","","11","3.455","36.4","27.3","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Wetlands Ecology","361","001","","19","3.556","36.8","31.6","26.3",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Special Topics","375","002","","15","3.467","20.0","60.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Open Space Planning&Design","451","001","","14","3.808","57.1","35.7",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Senior Project in Land Arc","551","001","","16","3.063","18.8","31.3","31.3","6.3","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"Principles-Landscape Ecology","565","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Applictn of GIS:Natrl Rsrcs","695","001","","11","3.000",".","27.3","54.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","699","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems-Land Arch","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Research in Landscape Arch","740","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate Seminar","940","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Independent Studies","999","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
