"PATHOLOGY AND LABORATORY Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","",""
"404","001","","301","3.287","30.6","27.2","22.6","11.6","6.3","1.7",".",".",".",".",".",".",".",".",".","."
"404","002","","51","3.460","37.3","35.3","13.7","7.8","2.0","2.0",".",".",".",".",".",".","2.0",".",".","."
"Pathophys Princ-Hum Disease","Course Total","","352","3.312","31.5","28.4","21.3","11.1","5.7","1.7",".",".",".",".",".",".","0.3",".",".","."
"699","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","087","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","089","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","21","4.000","90.5",".",".",".",".",".",".",".",".",".",".",".",".","9.5",".","."
"750
Cellulr & Moleclr Biol/Path","001","","14","3.611","50.0","21.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"809
Moleculr Mechanisms of Disease","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Student Seminar / Journal Club","001","","45","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"920","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"General Pathology Clerk-CSC","Course Total","","16","3.825","81.3","6.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","052","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","072","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","081","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","084","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","088","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","100","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","Page 376 of 422",""
