"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"","300
001","121","3.091","18.2","25.6","31.4","12.4","9.9","1.7","0.8",".",".",".",".",".",".",".",".","."
"","002
300","132","3.095","18.2","23.5","33.3","10.6","13.6","0.8",".",".",".",".",".",".",".",".",".","."
"","300
003","119","3.050","17.6","26.1","28.6","12.6","11.8","2.5","0.8",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","372","3.079","18.0","25.0","31.2","11.8","11.8","1.6","0.5",".",".",".",".",".",".",".",".","."
"","365
001","25","3.560","40.0","40.0","16.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","365
002","8","3.438","37.5","37.5","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","365
003","12","3.727","41.7","50.0",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","004
365","15","3.533","40.0","26.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","60","3.568","40.0","38.3","16.7",".","3.3",".",".","1.7",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","421
001","16","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Database Mngmnt & Applications","442
001","21","3.550","42.9","28.6","19.0",".","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"Production Planning&Control","654
001","22","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
001","50","3.439","32.0","24.0","40.0","2.0",".",".",".",".",".",".",".",".","2.0",".",".","."
"","700
002","49","3.571","40.8","32.7","26.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
030","57","3.807","70.2","21.1","8.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","156","3.616","48.7","25.6","24.4","0.6",".",".",".",".",".",".",".",".","0.6",".",".","."
"","001
732","49","3.735","61.2","24.5","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","732
002","50","3.640","52.0","24.0","24.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","732
030","54","3.500","31.5","37.0","31.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economics for Managers","Course Total","153","3.621","47.7","28.8","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","753
001","11","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","753
030","29","3.679","41.4","51.7",".","3.4",".",".",".","3.4",".",".",".",".",".",".",".","."
"Healthcare Ops Mgt","Course Total","40","3.692","42.5","52.5",".","2.5",".",".",".","2.5",".",".",".",".",".",".",".","."
"","765
001","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","30","3.733","46.7","53.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
031","37","3.824","64.9","35.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","75","3.768","57.3","42.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
139","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Read&Rsch-Oper&Info Mgt PhD","Course Total","3","***","","","","","","","","","","","","","","","",""
