"CHEMICAL & BIOLOGICAL ENGR Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","36","3.900","86.1","8.3",".",".","2.8",".",".",".",".",".",".",".","2.8",".",".","."
"Process Synthesis","250","002","","63","2.984","19.0","15.9","34.9","9.5","17.5","3.2",".",".",".",".",".",".",".",".",".","."
"Intro to Chem Process Modeling","255","001","","42","3.060","23.8","26.2","16.7","9.5","21.4","2.4",".",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","310","001","","59","2.864","8.5","22.0","25.4","22.0","22.0",".",".",".",".",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","311","001","","49","3.041","18.4","12.2","49.0","8.2","10.2",".","2.0",".",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","320","001","","77","3.110","16.9","16.9","51.9",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","324","001","","10","3.250","10.0","40.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","324","002","","15","3.200","26.7","26.7","13.3","26.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","324","003","","13","3.462","30.8","30.8","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324","004","","15","3.567","26.7","60.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","","Course Total","","53","3.377","24.5","39.6","24.5","9.4","1.9",".",".",".",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","326","001","","49","2.949","16.3","16.3","40.8","6.1","16.3","2.0","2.0",".",".",".",".",".",".",".",".","."
"Eng Prin Mol, Cells, Tissues","330","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Mass Transfer Operations","426","001","","55","3.091","20.0","23.6","21.8","23.6","10.9",".",".",".",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","430","001","","55","2.982","12.7","18.2","34.5","29.1","3.6",".","1.8",".",".",".",".",".",".",".",".","."
"Chemical Engineering Matl","440","001","","41","3.256","19.5","41.5","17.1","14.6","7.3",".",".",".",".",".",".",".",".",".",".","."
"Process Design","450","001","","38","3.526","31.6","47.4","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470","001","","39","2.949","23.1","23.1","12.8","17.9","15.4","7.7",".",".",".",".",".",".",".",".",".","."
"","489","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Intro to Tissue Engineering","510","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Biology in Engineering Seminar","517","001","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stem Cell Bioengineering","520","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Polymer Sci & Technology","540","001","","38","3.237","34.2","7.9","39.5","7.9","10.5",".",".",".",".",".",".",".",".",".",".","."
"Intro to Colloid&Interface Sci","547","001","","18","3.250","38.9","5.6","38.9",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Chem Engr Connections","555","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biochemical Engineering","560","001","","28","3.250","21.4","28.6","35.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","562","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","562","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","562","010","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","011","","23","3.826","73.9","17.4","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","012","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in ChE","","Course Total","","51","3.889","88.2","7.8","3.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Solar Energy Technology","567","001","","6","3.250","33.3","16.7","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","599","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
