"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"Econ Approach Current Issues","100
001","68","3.632","50.0","33.8","13.2","1.5",".","1.5",".",".",".",".",".",".",".",".",".","."
"","101
001","404","2.968","20.5","19.1","20.0","19.6","18.1","1.2","1.0",".",".",".",".",".","0.2","0.2",".","."
"","002
101","329","3.131","26.7","20.4","26.1","11.9","11.9","2.1","0.6",".",".",".",".",".","0.3",".",".","."
"","003
101","401","3.154","21.4","26.9","25.2","14.5","9.0","1.7",".","0.5",".",".",".",".","0.7",".",".","."
"","004
101","421","3.140","21.9","26.1","24.9","16.2","8.6","2.1",".",".",".",".",".",".","0.2",".",".","."
"Principles-Microeconomics","Course Total","1555","3.097","22.4","23.3","24.0","15.7","11.8","1.8","0.4","0.1",".",".",".",".","0.4","0.1",".","."
"","102
001","202","2.950","17.8","16.3","26.7","21.3","15.8","1.5","0.5",".",".",".",".",".",".",".",".","."
"","002
102","312","2.859","13.1","21.2","19.9","23.7","17.6","4.2",".",".",".",".",".",".","0.3",".",".","."
"","102
003","216","3.028","20.4","21.8","19.4","20.8","16.7",".","0.5",".",".",".",".",".",".","0.5",".","."
"Principles-Macroeconomics","Course Total","730","2.934","16.6","20.0","21.6","22.2","16.8","2.2","0.3",".",".",".",".",".","0.1","0.1",".","."
"Prin/Econ-Accelratd Treatmt","111
001","32","3.313","28.1","25.0","34.4","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Internship Economics","228
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
001","22","2.773","9.1","22.7","31.8","4.5","22.7","9.1",".",".",".",".",".",".",".",".",".","."
"","300
002","10","3.000","20.0","20.0","20.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","32","2.844","12.5","21.9","28.1","9.4","21.9","6.3",".",".",".",".",".",".",".",".",".","."
"","001
301","197","3.008","21.8","23.9","20.3","16.2","9.1","7.1","0.5",".",".",".",".",".","1.0",".",".","."
"","301
002","108","2.818","15.7","17.6","23.1","18.5","16.7","5.6","1.9",".",".",".",".",".","0.9",".",".","."
"","301
003","120","2.875","23.3","15.0","17.5","20.0","15.8","7.5","0.8",".",".",".",".",".",".",".",".","."
"Intmed Microeconomic Theory","Course Total","425","2.922","20.7","19.8","20.2","17.9","12.9","6.8","0.9",".",".",".",".",".","0.7",".",".","."
"","001
302","166","3.133","20.5","29.5","25.3","12.7","9.0","2.4","0.6",".",".",".",".",".",".",".",".","."
"","302
002","189","3.259","17.5","45.5","18.5","11.6","5.8","0.5","0.5",".",".",".",".",".",".",".",".","."
"Intmed Macroeconomic Theory","Course Total","355","3.200","18.9","38.0","21.7","12.1","7.3","1.4","0.6",".",".",".",".",".",".",".",".","."
"Developmnt-Economic Thought","305
001","34","3.167","17.6","17.6","41.2",".","11.8",".",".","2.9",".",".",".",".","2.9","2.9","2.9","."
