"ENGLISH AS A SECOND LANGU","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","","",""
"","110
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","110
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intensv English as 2nd Lang","Course Total","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Int. English Language Skills","114
001","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","115
002","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","115
004","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Grammar for Academic Use","Course Total","31","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
001","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
002","16","",".",".",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".","."
"","116
003","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
004","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
005","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","116
006","16","",".",".",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".","."
"","116
007","15","",".",".",".",".",".",".",".",".",".","86.7","13.3",".",".",".",".","."
"","116
008","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
009","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
010","15","",".",".",".",".",".",".",".",".",".","80.0","20.0",".",".",".",".","."
"","116
012","15","",".",".",".",".",".",".",".",".",".","86.7","13.3",".",".",".",".","."
"","116
013","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"","116
014","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
015","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"","116
017","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
018","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Acad Reading and Vocab Skills","Course Total","242","",".",".",".",".",".",".",".",".",".","94.2","5.8",".",".",".",".","."
"","117
001","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
002","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
003","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","117
004","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
005","15","",".",".",".",".",".",".",".",".",".","86.7","13.3",".",".",".",".","."
"","117
006","17","",".",".",".",".",".",".",".",".",".","82.4","17.6",".",".",".",".","."
"","117
007","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
008","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
009","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
010","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
011","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","117
012","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
013","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
014","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
015","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
016","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
017","17","",".",".",".",".",".",".",".",".",".","94.1","5.9",".",".",".",".","."
"","117
018","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","117
019","15","",".",".",".",".",".",".",".",".",".","86.7","13.3",".",".",".",".","."
"","117
020","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
021","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
