"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
001","20","3.250","30.0","20.0","35.0",".","15.0",".",".",".",".",".",".",".",".",".",".","."
"","101
002","21","3.548","52.4","33.3","9.5",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","101
004","22","3.045","40.9","18.2","13.6",".","13.6","9.1","4.5",".",".",".",".",".",".",".",".","."
"","101
006","18","3.000","22.2","27.8","11.1","16.7","16.7","5.6",".",".",".",".",".",".",".",".",".","."
"","101
007","23","3.609","39.1","43.5","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
008","20","3.825","80.0","15.0",".",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","101
009","22","3.182","31.8","31.8","22.7","4.5",".",".","9.1",".",".",".",".",".",".",".",".","."
"","101
010","16","2.906","6.3","50.0","25.0","6.3",".",".","12.5",".",".",".",".",".",".",".",".","."
"First Semester French","Course Total","162","3.312","38.9","29.6","16.7","3.1","6.2","1.9","3.7",".",".",".",".",".",".",".",".","."
"","102
002","16","3.594","50.0","31.3","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","102
003","22","3.659","54.5","31.8","4.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","12","3.208","8.3","33.3","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","15","3.667","66.7","6.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","65","3.562","47.7","26.2","18.5","6.2","1.5",".",".",".",".",".",".",".",".",".",".","."
"Frnch 4 Spkrs of Othr Romc Lng","201
001","15","3.533","46.7","26.7","20.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","203
001","21","3.250","23.8","28.6","23.8","9.5","9.5",".",".","4.8",".",".",".",".",".",".",".","."
"","002
203","19","3.553","36.8","47.4","5.3","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","003
203","18","3.000","11.1","22.2","33.3","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"","004
203","19","3.421","26.3","42.1","26.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","203
006","13","2.958","15.4","7.7","38.5","15.4","15.4",".",".","7.7",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","90","3.261","23.3","31.1","24.4","11.1","7.8",".",".","2.2",".",".",".",".",".",".",".","."
"","204
002","15","3.567","33.3","53.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","204
003","14","2.750","21.4","28.6","7.1","7.1","21.4","7.1","7.1",".",".",".",".",".",".",".",".","."
"","204
005","11","2.864",".","27.3","45.5",".","27.3",".",".",".",".",".",".",".",".",".",".","."
"","006
204","9","3.278","22.2","33.3","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","49","3.122","20.4","36.7","18.4","8.2","12.2","2.0","2.0",".",".",".",".",".",".",".",".","."
"","227
001","14","3.708","57.1","7.1","21.4",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"","227
002","19","3.553","47.4","26.3","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","227
003","25","3.229","8.0","40.0","40.0","4.0","4.0",".",".","4.0",".",".",".",".",".",".",".","."
"","227
004","15","3.733","66.7","13.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Exploring French:Intermed Crse","Course Total","73","3.507","39.7","24.7","26.0","4.1","1.4",".",".","1.4",".",".",".",".",".",".","2.7","."
"","228
001","11","3.455","45.5","36.4","9.1",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"","228
002","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
003","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
011","14","3.154","28.6","21.4","21.4","7.1","7.1","7.1",".","7.1",".",".",".",".",".",".",".","."
"","228
012","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
013","7","3.500","42.9","42.9",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","59","3.592","52.5","30.5","6.8","1.7","3.4","3.4",".","1.7",".",".",".",".",".",".",".","."
"","271
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
271","7","3.833","57.1","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3"
"","271
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","271
011","12","3.667","66.7","8.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","271
012","15","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
013","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Literary Analysis","Course Total","46","3.766","65.2","19.6","10.9","2.2",".",".",".",".",".",".",".",".",".",".",".","2.2"
