"ATMOSPHERIC & OCEANIC SCIE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","",""
"100
Weather and Climate","001","","236","2.835","12.7","20.8","24.6","19.9","13.1","4.2","2.5","2.1",".",".",".",".",".",".",".","."
"101
Weather and Climate","001","","73","3.178","19.2","26.0","32.9","15.1","6.8",".",".",".",".",".",".",".",".",".",".","."
"140
Natural Hazards and Disasters","001","","46","3.398","34.8","26.1","28.3","2.2","2.2",".","2.2","4.3",".",".",".",".",".",".",".","."
"310
Dynamics-Atmosphere&Ocean I","001","","19","2.737","15.8","26.3","15.8","5.3","26.3","5.3","5.3",".",".",".",".",".",".",".",".","."
"330
Physics-Atmosphere&Ocean I","001","","17","3.500","52.9","17.6","11.8","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"331
Climatic Environments-Past","001","","12","3.500","33.3","33.3","8.3",".","8.3",".",".","16.7",".",".",".",".",".",".",".","."
"401
Topics in Meteorology","001","","17","3.441","41.2","29.4","17.6",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"425
Global Climate Processes","001","","12","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"452
Syn Lab I:Frontal Cyclone","001","","9","3.222","22.2","22.2","44.4",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"610
Geophys Fluid Dynamics I","001","","12","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"630
Intro to Atm & Ocn Physics","001","","9","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"691
Senior Thesis","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"801
Topics-Theoretical Meteor","001","","8","3.857","75.0",".","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"911
Limnology & Marine Sci Seminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953
Intr. to WI Ecol.: Grad Sem","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","8","",".",".",".",".",".",".",".","12.5",".",".",".","87.5",".",".",".","."
"Research","Course Total","","35","",".",".",".",".",".",".",".","54.3","2.9",".",".","42.9",".",".",".","."
