"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"101","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"101","002","","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","21","3.833","76.2","14.3","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"102
Beginning Class Piano","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"103
Elementary Class Piano","001","","11","3.636","54.5","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"104
Intermediate Class Piano","001","","6","3.417","50.0","16.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"108
Jazz Class Piano","096","","11","3.773","81.8","9.1",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"14
Fundamentals: Single Reeds","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"143
Intro to Performance: Voice","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"144","044","","6","3.591","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"144","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"144","101","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"144","102","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"144","103","","9","3.600","22.2","66.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Vocal Instr: Non-Voice Majors","Course Total","","25","3.690","40.0","52.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"200","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"200","101","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"200","102","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"200","103","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"200","104","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intermed Piano-Non-Majors","Course Total","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"201","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"201","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"201","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"201","096","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"201","129","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"201","147","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Piano","Course Total","","8","3.650","62.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"202
Elem/Intermed Harpsichord","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"205","044","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"205","045","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"205","061","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"205","062","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"205","161","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Voice","Course Total","","23","3.854","78.3","13.0","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"207
Elem/Intmed Flute","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"209
Elem/Intmed Oboe","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"211
Elem/Intmed Clarinet","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"213
Element/Intermed Saxophone","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"215
Elem/Intmed Bassoon","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"217
Elem/Intmed Horn","020","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"219
Elem/Intmed Trumpet","063","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"221
Elem/Intmed Trombone","089","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","","Page 284 of 420",""
