"PORTUGUESE (SPANISH & POR Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","","",""
"","101","002","","17","3.412","64.7","5.9","11.8","5.9","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","101","004","","13","3.385","46.2","23.1","7.7","7.7","15.4",".",".",".",".",".",".",".",".",".",".","."
"1st Semester Portuguese","","Course Total","","30","3.400","56.7","13.3","10.0","6.7","10.0",".","3.3",".",".",".",".",".",".",".",".","."
"3rd Semester Portuguese","201","001","","17","3.559","52.9","17.6","23.5",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Intensive Portuguese","301","001","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4th Yr Compositn & Conversatn","311","001","","13","3.625","53.8","23.1","7.7",".","7.7",".",".","7.7",".",".",".",".",".",".",".","."
"Portuguese Civilization","361","001","","21","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Portug Lit pre 1825","411","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading","899","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","","Course Total","","5","***","","","","","","","","","","","","","","","",""
