"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Trial Advocacy","Course Total","39","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
002","24","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
004","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
006","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
008","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
009","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
010","13","",".",".",".",".",".",".",".","76.9",".",".",".",".",".",".",".","23.1"
"","854
013","10","",".",".",".",".",".",".",".","80.0",".",".",".",".",".",".",".","20.0"
"","854
014","25","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
016","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
018","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
019","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Clinical Program","Course Total","124","",".",".",".",".",".",".",".","95.2",".",".",".",".",".",".",".","4.8"
"Advanced Criminal Procedure","860
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Wisconsin Internl Law Journ","895
001","54","4.000","1.9",".",".",".",".",".",".","98.1",".",".",".",".",".",".",".","."
"Journal of Law, Gender & Soc.","896
001","34","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Law Review","899
001","80","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Constitutional Law Seminar","904
001","29","1.630","6.9",".","41.4",".",".",".",".",".",".",".",".",".","3.4",".","3.4","."
"Law, Sci & Biotechnolgy Smr","906
001","7","1.571","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","915
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","915
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Probs-Criminal Justice Adm","Course Total","3","***","","","","","","","","","","","","","","","",""
"Problems: Intl Law Seminar","918
002","14","1.143","7.1",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Problems- Land Law Seminar","928
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
007","16","2.375","12.5",".","62.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
009","17","1.267","11.8",".","23.5",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","940
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
014","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","940
016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Law & Contemporary Problems","Course Total","59","1.538","6.8",".","28.8",".",".",".",".","30.5",".",".",".",".",".",".",".","."
"European Union Law","942
001","8","2.667","50.0",".",".",".",".",".",".","12.5",".",".",".",".","12.5",".",".","."
"","950
003","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","950
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Lawyering Skills Course","Course Total","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Corporate Finance Law","954
001","11","1.111","18.2",".",".",".","9.1",".",".","18.2",".",".",".",".",".",".",".","."
"Probs:Trade Regulation-Smr","961
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
027","5","***","","","","","","","","","",".",".",".",".",".",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","Page 339 of 420",""
