"L&S","","","","","","","","","","","","","","","","","","","",""
"GEOGRAPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"GEOG
416","Dept. Total","1671","3.421","42.2","22.4","16.2","5.1","5.7","1.3","1.1","3.2","0.1","0.2","",".","0.7","1.0","0.2","0.3","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","44","3.121","25.0","31.8","18.2","13.6","2.3","6.8","2.3",".",".",".","",".",".",".",".",".","."
"Sophomore","","354","3.291","30.5","27.4","25.7","8.8","4.8","2.0","0.8",".",".",".","",".",".",".",".",".","."
"Junior","","337","3.340","35.0","28.8","20.8","5.3","5.9","1.5","1.5","0.6",".",".","",".",".","0.6",".",".","."
"Senior","","605","3.373","43.6","22.5","14.4","4.5","9.1","1.2","1.7","1.0",".",".","",".",".","1.7","0.3",".","0.2"
"Undergraduates","","1340","3.334","37.4","25.7","19.1","6.1","6.9","1.6","1.4","0.6",".",".","",".",".","0.9","0.1",".","0.1"
"Special","","75","3.670","42.7","18.7","6.7","2.7","1.3",".",".","12.0",".","5.3","",".",".","1.3","2.7","5.3","."
"Graduate","","256","3.869","67.2","6.3","3.9","0.8","0.8",".",".","14.1","0.4",".","",".","4.7","1.6",".","0.4","."
"","Dept. Total","1671","3.421","42.2","22.4","16.2","5.1","5.7","1.3","1.1","3.2","0.1","0.2","",".","0.7","1.0","0.2","0.3","0.1"
