"HISTORY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Amer Hist to Civil War Era","101
001","","146","3.347","23.3","40.4","16.4","6.8","6.2","0.7",".","6.2",".",".",".",".",".",".",".","."
"Amer Hist-Civil War-Present","102
001","","102","3.619","38.2","43.1","11.8","2.0",".",".",".","2.9",".",".",".",".",".",".","2.0","."
"Intro to E Asian Hist - Korea","108
001","","29","3.793","69.0","20.7","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Europe&Mod World 1815-On","120
001","","79","3.219","13.9","29.1","35.4","11.4","2.5",".",".","6.3",".",".",".",".","1.3",".",".","."
"English History to 1688","123
001","","44","3.179","18.2","20.5","36.4","18.2","2.3",".",".","4.5",".",".",".",".",".",".",".","."
"British Hist: 1688-Present","124
001","","53","3.734","47.2","37.7","1.9","1.9",".",".",".","11.3",".",".",".",".",".",".",".","."
"Intro to World History","130
001","","148","3.894","83.8","6.8","4.1",".",".",".","0.7",".",".",".",".",".",".","4.1","0.7","."
"Asian Am Hist:Movmnt&Dislocatn","001
160","","45","3.523","53.3","17.8","13.3","6.7","2.2",".","2.2","2.2",".",".",".",".",".",".",".","2.2"
"","200
001","","14","3.143","14.3","28.6","35.7","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","200
002","","8","3.563","50.0","12.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","200
005","","16","3.438","56.3","18.8",".","6.3","18.8",".",".",".",".",".",".",".",".",".",".","."
"Historical Studies","Course Total","","39","3.329","38.5","23.1","20.5","7.7","10.3",".",".",".",".",".",".",".",".",".",".","."
"","201
001","","41","3.475","48.8","26.8","9.8","2.4","7.3",".","2.4",".",".",".",".",".","2.4",".",".","."
"","201
002","","41","3.207","22.0","31.7","26.8","14.6","2.4",".","2.4",".",".",".",".",".",".",".",".","."
"","201
003","","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Historian's Craft","Course Total","","95","3.394","41.1","27.4","16.8","7.4","4.2",".","2.1",".",".",".",".",".","1.1",".",".","."
"Western Christianity to 1750","001
212","","29","3.375","48.3","3.4","10.3","3.4","17.2",".",".","17.2",".",".",".",".",".",".",".","."
"","221
001","","8","3.438","62.5","12.5","12.5",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"","002
221","","44","2.830","15.9","29.5","18.2","9.1","15.9","6.8","4.5",".",".",".",".",".",".",".",".","."
"Explorations in Amer Hist (H)","Course Total","","52","2.923","23.1","26.9","17.3","7.7","13.5","7.7","3.8",".",".",".",".",".",".",".",".","."
"","223
001","","14","3.385","35.7","21.4","21.4","7.1","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"","223
002","","19","3.500","57.9","15.8","10.5","5.3",".",".","5.3","5.3",".",".",".",".",".",".",".","."
"","003
223","","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Exploration-European Hist (H)","Course Total","","40","3.474","45.0","25.0","15.0","5.0","2.5",".","2.5","5.0",".",".",".",".",".",".",".","."
"Exploration-European Hist (S)","001
224","","57","3.510","43.9","26.3","5.3","5.3","1.8","1.8","1.8","12.3",".",".",".",".","1.8",".",".","."
"","225
001","","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
225","","41","3.583","53.7","14.6","7.3","9.8",".","2.4",".","7.3",".",".",".",".","4.9",".",".","."
"Exploration-3rd World Hist (H)","Course Total","","52","3.596","51.9","19.2","9.6","7.7",".","1.9",".","5.8",".",".",".",".","3.8",".",".","."
"","229
001","","8","3.214","12.5","37.5","25.0",".","12.5",".",".","12.5",".",".",".",".",".",".",".","."
"","002
229","","14","3.429","14.3","64.3","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","229
003","","8","3.929","75.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Transnational/Comp Hstry (Hum)","Course Total","","30","3.500","30.0","43.3","13.3","3.3","3.3",".",".","3.3",".",".",".",".","3.3",".",".","."
"SE Asian Refugees of Cold War","246
001","","36","3.750","63.9","30.6",".","2.8","2.8",".",".",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252
001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eastern Europe:Interdis Survey","254
001","","14","3.731","64.3","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".","7.1",".","."
"Intro East Asian Civilizations","255
001","","17","3.324","29.4","52.9","5.9",".","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260
001","","23","3.306","39.1","17.4","4.3","4.3","8.7",".","4.3","21.7",".",".",".",".",".",".",".","."
"American Legal History to Pres","262
001","","38","3.069","5.3","26.3","31.6","10.5",".",".","2.6","23.7",".",".",".",".",".",".",".","."
"Hist Stdy Abrd: European Hist","271
00A","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","","25","3.313","40.0","12.0","24.0","8.0","12.0",".",".","4.0",".",".",".",".",".",".",".","."
"Afro-Atlantic Hist 1808-Presnt","279
001","","54","3.402","33.3","22.2","18.5","9.3",".",".","1.9","13.0",".",".",".",".","1.9",".",".","."
