"THEATRE AND DRAMA","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","",""
"Intro-Theatre & Dramatic Lit","120
001","","176","3.588","44.3","39.8","8.5","3.4","2.8",".","0.6",".",".",".",".",".",".",".",".","0.6"
"Fund of Theatrical Design","130
001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Voice1 Effective Communication","140
001","","15","3.321","46.7","6.7","20.0",".","20.0",".",".",".",".",".",".",".",".",".",".","6.7"
"","150
001","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
002","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
003","","17","3.853","82.4","5.9","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
004","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
005","","8","3.250","62.5",".",".",".","37.5",".",".",".",".",".",".",".",".",".",".","."
"","150
006","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
007","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acting I: Intro to Acting","Course Total","","89","3.860","84.3","10.1","2.2",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"Technical Theatre Fundamentals","160
001","","21","3.611","38.1","38.1","4.8",".","4.8",".",".",".",".",".",".",".","14.3",".",".","."
"","161
001","","7","3.667","71.4",".",".",".","14.3",".",".",".",".",".",".",".",".",".",".","14.3"
"","161
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","","11","3.700","63.6","18.2",".",".","9.1",".",".",".",".",".",".",".",".",".",".","9.1"
"","162
001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","162
002","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Experience","Course Total","","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Topics-Theatre&Drama","219
003","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
001","","10","3.722","50.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","10.0"
"","250
002","","11","3.545","63.6","9.1","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","","21","3.625","57.1","19.0","9.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".","4.8"
"History: Stage Costume","327
001","","9","3.063","11.1","33.3","11.1","22.2","11.1",".",".",".",".",".",".",".","11.1",".",".","."
"Acting Realism","350
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","357
001","","18","3.667","66.7","11.1","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","357
002","","14","3.750","71.4","7.1","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Theatre-Cultrl&Soc Aware","Course Total","","32","3.703","68.8","9.4","18.8",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"","362
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drama for Teaching & Learning","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prin&Pract-Stage Costume Dsgn","363
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stage Lighting I","366
001","","7","3.870","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Script Analysis","367
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drafting for the Theatre","370
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Set Design I","372
001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Stage Management","379
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Musical Performnc for Actor","440
001","","18","3.639","77.8","5.6","5.6",".","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"Costume Technology Topics","464
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Scenic Painting","472
001","","13","3.833","69.2","15.4","7.7",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Diaspora and Theatre","477
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory III","561
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"March 14, 2019","","","","","","","","","","","","","","","","","","","Page 110 of 438",""
