"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"Intro Organic Chemistry","Course Total","1167","2.757","22.6","8.7","25.9","8.2","25.1","5.2","3.9","0.1",".",".",".",".","0.1",".",".","0.2"
"","344
001","16","3.188","31.3","6.3","31.3","31.3",".",".",".",".",".",".",".",".",".",".",".","."
"","344
002","16","3.219","37.5","12.5","18.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".","."
"","344
003","17","3.206","29.4","17.6","35.3",".","17.6",".",".",".",".",".",".",".",".",".",".","."
"","344
004","15","3.200","20.0","33.3","33.3","6.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"","344
005","18","3.139","27.8","5.6","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","344
007","15","3.267","46.7",".","26.7","13.3","13.3",".",".",".",".",".",".",".",".",".",".","."
"","344
008","16","3.250","18.8","31.3","31.3","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"","344
009","17","3.147","29.4",".","58.8","5.9",".","5.9",".",".",".",".",".",".",".",".",".","."
"","344
010","17","3.265","35.3","23.5","17.6","5.9","17.6",".",".",".",".",".",".",".",".",".",".","."
"","344
011","17","3.176","23.5","23.5","29.4","11.8","11.8",".",".",".",".",".",".",".",".",".",".","."
"","344
013","18","3.250","33.3","11.1","27.8","27.8",".",".",".",".",".",".",".",".",".",".",".","."
"","344
014","18","3.167","33.3",".","50.0","11.1",".","5.6",".",".",".",".",".",".",".",".",".","."
"","344
015","16","3.375","31.3","12.5","56.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","344
017","15","3.233","40.0","6.7","20.0","26.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","344
018","14","3.214","28.6","7.1","50.0","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","344
019","13","3.000","23.1","23.1","30.8","7.7","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"","344
020","15","3.267","33.3","13.3","33.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","344
023","11","3.227","36.4",".","45.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","344
024","12","3.227","33.3","16.7","25.0","8.3",".","8.3",".",".",".",".",".",".","8.3",".",".","."
"","344
025","14","3.286","42.9",".","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"","344
026","13","3.115","23.1","15.4","38.5","7.7","15.4",".",".",".",".",".",".",".",".",".",".","."
"","344
029","13","3.192","30.8","7.7","38.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"","344
030","13","3.231","38.5",".","30.8","30.8",".",".",".",".",".",".",".",".",".",".",".","."
"","344
031","13","3.154","30.8",".","46.2","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"Intro Organic Chemistry Lab","Course Total","362","3.209","31.5","11.3","35.6","13.3","6.6","1.1","0.3",".",".",".",".",".","0.3",".",".","."
"","345
001","265","2.558","16.6","9.8","17.7","14.3","29.8","6.4","5.3",".",".",".",".",".",".",".",".","."
"","345
002","200","2.745","17.5","10.0","26.0","13.0","26.0","7.0","0.5",".",".",".",".",".",".",".",".","."
"Intmed Organic Chemistry","Course Total","465","2.639","17.0","9.9","21.3","13.8","28.2","6.7","3.2",".",".",".",".",".",".",".",".","."
"","346
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
002","18","3.167","27.8","11.1","50.0",".","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"Intmed Organic Chem Lab","Course Total","23","3.146","26.1","13.0","43.5","4.3","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"","375
001","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Topics in Chemistry","Course Total","31","3.935","87.1","12.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Organic Chemistry","547
001","49","3.214","34.7","16.3","24.5","14.3","6.1","4.1",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry","561
001","39","2.872","28.2","17.9","2.6","23.1","20.5","5.1","2.6",".",".",".",".",".",".",".",".","."
"Physical Chemistry","562
001","73","2.925","27.4","21.9","24.7","1.4","11.0","6.8","6.8",".",".",".",".",".",".",".",".","."
"","563
001","13","3.538","38.5","46.2","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","563
003","12","3.292","41.7","8.3","25.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","563
004","12","3.417","25.0","33.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","563
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Physical Chemistry Lab","Course Total","42","3.429","33.3","33.3","23.8","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","564
001","10","3.400","20.0","40.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
