"LIBRARY & INFORMATION STUD Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","",""
"The Information Society","201
001","106","3.774","79.2","11.3","0.9","2.8","1.9",".","1.9",".",".",".",".",".",".",".",".","1.9"
"Tpcs in Info St-Social Aspects","340
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tpcs in Info St-Tech Aspects","341
001","18","3.806","72.2","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Digital Information","351
001","144","3.815","80.6","9.7","5.6","0.7","2.1",".","0.7",".",".",".",".",".","0.7",".",".","."
"Independent Reading & Research","399
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","500
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","500
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Code and Power","Course Total","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
001","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","30","3.879","73.3","23.3",".",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"","601
003","25","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Perspectives, Contexts","Course Total","95","3.936","86.3","12.6",".",".",".",".",".",".",".",".",".",".","1.1",".",".","."
"","602
001","40","3.963","92.5","7.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602
002","40","3.950","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602
003","41","3.988","95.1","2.4",".",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"Info: Org and Search","Course Total","121","3.967","94.2","3.3","1.7",".",".",".",".",".",".",".",".",".","0.8",".",".","."
"Research and Assessment","603
001","40","3.988","97.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"User Experience Design 1","611
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","15","3.929","80.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","6.7","."
"","620
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","Course Total","27","3.962","88.9","7.4",".",".",".",".",".",".",".",".",".",".",".",".","3.7","."
"Childrens Literature","622
001","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","632
001","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","632
002","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Metadata Standards and XML","Course Total","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pedagogical Theory & Practice","639
001","19","3.789","73.7","10.5","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
005","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
006","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
007","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
008","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
009","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Library&Informatn St","Course Total","64","3.900","95.3","3.1",".",".",".",".","1.6",".",".",".",".",".",".",".",".","."
"","644
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
002","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Tools, Trends, Debates","Course Total","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Info Architecture","646
001","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Books Print Cult Europe No Am","650
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","654
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","654
002","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 14, 2019","","","","","","","","","","","","","","","","","","Page 274 of 438",""
