"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"MED SC-V","","","","","","","","","","","","","","","","","","","","","",""
"Junior","3","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Senior","3","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Undergraduates","6","4.000","83.3",".",".",".",".",".","",".","16.7","",".",".","",".","",".",".",".",".","."
"Special","32","",".",".",".",".",".",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Graduate","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 1","49","4.000","73.5",".",".",".",".",".","",".","24.5","",".",".","",".","",".","2.0",".",".","."
"Prof Yr 2","18","3.500","61.1",".","11.1",".",".",".","",".","22.2","",".",".","",".","",".",".",".","5.6","."
"Prof Yr 3","287","3.312","19.5","12.5","20.2","3.5","4.5","0.3","",".","39.0","",".",".","",".","",".","0.3",".",".","."
"Prof Yr 4","322","4.000","35.7",".",".",".",".",".","",".","63.4","",".",".","",".","",".",".",".","0.9","."
"Professionals","676","3.464","32.2","5.3","8.9","1.5","1.9","0.1","",".","49.1","",".",".","",".","",".","0.3",".","0.6","."
