"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"REAL EST","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Sophomore","","66","3.258","24.2","22.7","37.9","10.6","4.5",".",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","246","3.308","28.0","28.5","29.7","8.9","2.8",".","1.2","",".","",".",".","",".","",".","0.8",".",".","."
"Senior","","434","3.413","37.6","26.0","24.4","8.1","3.2","0.7",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","747","3.362","33.2","26.5","27.4","8.6","3.2","0.4","0.4","",".","",".",".","",".","",".","0.3",".",".","."
"Special","","12","3.583","50.0","33.3","8.3",".","8.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"Graduate","","149","3.655","50.3","28.9","20.8",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","908","3.419","36.2","27.0","26.1","7.0","2.8","0.3","0.3","",".","",".",".","",".","",".","0.2",".",".","."
