"ENGR MECHANICS & ASTRONAUSection","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","",""
"Special Topics: Engr Mech","Course Total","","80","3.859","90.0","3.8","5.0","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"610
FEM Model Validation","001","","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"611
Adv Mech Testing-Materials","001","","17","3.500","35.3","35.3","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"642
Satellite Dynamics","001","","21","2.881","19.0","9.5","23.8","23.8","23.8",".",".",".",".",".",".",".",".",".",".","."
"690","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research","Course Total","","2","***","","","","","","","","","","","","","","","",""
"747
Nonlinr&Random Mech Vibratn","001","","19","3.684","73.7","10.5","5.3",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"759
HPC for Apps in Engr","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research and Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"890","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator Research","Course Total","","7","",".",".",".",".",".",".",".","71.4",".",".",".","28.6",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"E M A
346","Dept. Total","","1056","3.110","31.4","18.7","23.0","11.4","8.1","4.0","1.2","1.3",".","0.2",".","0.3","0.2","0.1",".","0.1"
