"COMPUTER SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"799","145","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","148","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research","Course Total","","127","",".",".",".",".",".",".",".","97.6",".",".",".",".","0.8",".","1.6","."
"838","001","","33","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"838","002","","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Computing","Course Total","","49","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"839","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"839","002","","79","3.816","63.3","36.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Core Topics in Computing","Course Total","","82","3.811","63.4","35.4","1.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"861
Theory of Machine Learning","001","","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"880
Topics in Theortcl Comp Sci","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"899","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","085","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","101","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","112","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","124","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","128","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator Research","Course Total","","32","",".",".",".",".",".",".",".","90.6",".",".",".","9.4",".",".",".","."
"900
Adv Seminar - Computer Science","001","","30","4.000","96.7",".",".",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"915
Computn&Informatcs in Biol&Med","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
