"GEOSCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOSCI","","","","","","","","","","","","","","","","","","","",""
"Introductory Geology","100","001","281","3.646","62.6","18.9","6.8","1.8","2.5","1.4","1.4","4.3",".",".",".",".","0.4",".",".","."
"Survey of Oceanography","105","001","25","3.184","12.0","28.0","24.0",".","12.0",".",".","24.0",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","81","3.538","56.8","23.5","6.2","4.9","1.2","2.5","2.5","2.5",".",".",".",".",".",".",".","."
"Evolution and Extinction","110","001","132","3.128","25.8","18.9","31.1","6.1","13.6","0.8","1.5","2.3",".",".",".",".",".",".",".","."
"Monitoring Earth by Satellite","118","001","57","3.143","26.3","26.3","24.6","12.3","3.5",".","5.3",".",".",".",".",".",".","1.8",".","."
"Life in the Universe","160","001","55","2.823","14.5","12.7","25.5","10.9","18.2","3.6","1.8","12.7",".",".",".",".",".",".",".","."
"Directed Study","199","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Geologic Evolution of Earth","204","001","41","2.797","12.2","14.6","29.3","17.1","9.8","2.4","4.9","9.8",".",".",".",".",".",".",".","."
"Geomorphology","320","001","15","3.385","40.0","6.7","20.0","20.0",".",".",".","6.7",".",".",".",".","6.7",".",".","."
"Gems: Sci Behind the Sparkle","331","001","195","3.083","20.0","22.1","29.2","16.9","6.2","4.1",".","1.0",".",".",".",".",".",".","0.5","."
"Intro Geophysics:Dynmic  Earth","350","001","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Petrology","370","001","21","3.310","38.1","23.8","4.8","28.6","4.8",".",".",".",".",".",".",".",".",".",".","."
"Principles of Geochemistry","375","001","13","3.542","53.8","7.7","15.4","15.4",".",".",".","7.7",".",".",".",".",".",".",".","."
"Topics in Geology","376","002","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Energy Resources","411","001","109","3.573","52.3","33.0","7.3","0.9","2.8","2.8","0.9",".",".",".",".",".",".",".",".","."
"Glacial&Pleistocene Geology","420","001","22","3.262","27.3","31.8","4.5","27.3","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"Sedimentology and Stratigraphy","430","001","14","3.607","50.0","21.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract Appl of GPS Surveying","444","001","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Structural Geology","455","001","26","2.673","3.8","30.8","30.8","3.8","15.4","11.5","3.8",".",".",".",".",".",".",".",".","."
"Geologic Field Methods","456","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Conducted Field Trip","457","001","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rock Mechanics","474","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691","036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","699","007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","039","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","","Course Total","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Carbonate Geology","731","001","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electron Microprobe Anal","777","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","875","005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","875","006","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Topics in Geology","","Course Total","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 03, 2019","","","","","","","","","","","","","","","","","","","Page 233 of 423",""
