"LAFOLLETTE SCHOOL PUB AFF Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","",""
"Contemp Public Policy Issues","200
001","","37","3.429","29.7","35.1","18.9","8.1","2.7",".",".","5.4",".",".",".",".",".",".",".","."
"Tools for Public Policy","380
001","","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Regional Econ Prob Analysis","734
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Issues in Educ Policy Analysis","765
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
031","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","9","4.000","77.8",".",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"Public Affairs Seminar Series","802
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Energy Analysis Seminar","810
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Stat Meths-Pub Pol Anal","819
001","","28","3.804","60.7","39.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Economic Analysis","820
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Administrative Internship","827
001","","6","3.893","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Trade, Competition&Governance","856
001","","8","3.438","37.5","12.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop-Int'l Public Affairs","860
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Policy&Policy Design","864
001","","12","4.000","91.7",".",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Global Environmentl Governance","866
001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","869
001","","15","3.833","80.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","869
002","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Public Affairs","Course Total","","30","3.917","90.0","3.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","873
001","","19","3.763","52.6","47.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","873
002","","20","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","873
003","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Policy Analysis","Course Total","","51","3.843","68.6","31.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","878
001","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","878
002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Management","Course Total","","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"State & Local Govt Finance","891
001","","37","3.784","62.2","32.4","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974
004","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974
005","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974
007","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Public Affairs","Course Total","","36","3.875","77.8","19.4","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
