"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","42","3.048","11.9","23.8","33.3","23.8","7.1",".",".",".",".",".",".",".",".",".",".","."
"","300
002","41","3.073","14.6","22.0","39.0","12.2","12.2",".",".",".",".",".",".",".",".",".",".","."
"","300
003","40","2.988","15.0","20.0","15.0","47.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"","300
004","43","3.128","11.6","14.0","65.1","7.0","2.3",".",".",".",".",".",".",".",".",".",".","."
"","300
005","42","3.369","40.5","28.6","4.8","16.7","9.5",".",".",".",".",".",".",".",".",".",".","."
"","300
006","42","3.250","16.7","35.7","31.0","14.3","2.4",".",".",".",".",".",".",".",".",".",".","."
"","300
007","45","3.333","13.3","55.6","15.6","15.6",".",".",".",".",".",".",".",".",".",".",".","."
"","300
008","41","3.305","19.5","39.0","26.8","12.2","2.4",".",".",".",".",".",".",".",".",".",".","."
"","300
009","40","3.300","17.5","40.0","30.0","10.0","2.5",".",".",".",".",".",".",".",".",".",".","."
"","300
010","41","3.415","26.8","48.8","12.2","4.9","7.3",".",".",".",".",".",".",".",".",".",".","."
"","300
011","36","3.278","11.1","44.4","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","300
012","41","3.061","12.2","36.6","19.5","19.5","9.8","2.4",".",".",".",".",".",".",".",".",".","."
"Managing Organizations","Course Total","494","3.213","17.6","34.0","27.1","16.2","4.9","0.2",".",".",".",".",".",".",".",".",".","."
"","305
001","75","3.553","56.0","17.3","16.0","2.7","8.0",".",".",".",".",".",".",".",".",".",".","."
"","305
002","49","3.541","51.0","14.3","26.5","8.2",".",".",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","Course Total","124","3.548","54.0","16.1","20.2","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"Chall & Solu in Bus Sustain","310
001","34","3.515","26.5","50.0","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Entrepreneurship","321
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Entrepreneurial Mgnt","322
001","172","2.974","15.7","20.9","35.5","12.2","9.9","2.9","2.3",".","0.6",".",".",".",".",".",".","."
"","365
001","22","3.841","77.3","13.6","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","45","3.856","82.2","8.9","6.7","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Management","399
113","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Management of Teams","401
001","27","3.630","40.7","44.4","14.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Issues in Management","403
001","19","3.395","26.3","42.1","21.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","422
001","17","3.618","41.2","47.1","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","26","3.346","15.4","42.3","38.5","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","Course Total","43","3.453","25.6","44.2","25.6","4.7",".",".",".",".",".",".",".",".",".",".",".","."
"","423
001","42","3.786","61.9","33.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","423
002","38","3.724","55.3","36.8","5.3","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Management","Course Total","80","3.756","58.8","35.0","5.0","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneur Growth Strategies","427
001","26","3.538","34.6","38.5","26.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Venture Creation","434
001","42","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technology Entrepreneurship","441
001","18","3.139","16.7","22.2","38.9","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"Personnel Staffing & Eval","611
001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Labor-Management Relations","612
001","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","628
001","31","3.468","32.3","29.0","38.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","628
002","31","3.565","45.2","35.5","9.7","6.5","3.2",".",".",".",".",".",".",".",".",".",".","."
"Negotiations","Course Total","62","3.516","38.7","32.3","24.2","3.2","1.6",".",".",".",".",".",".",".",".",".",".","."
"Chall & Solu in Bus Sustain","710
001","23","3.565","39.1","52.2",".",".","8.7",".",".",".",".",".",".",".",".",".",".","."
"Strategic Mgmt of Innovation","715
001","35","3.629","34.3","57.1","8.6",".",".",".",".",".",".",".",".",".",".",".",".","."
