"L&S","","","","","","","","","","","","","","","","","","","","",""
"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","","",""
"PSYCH
820","Dept. Total","5166","3.277","39.5","18.5","19.1","9.2","7.1","3.3","0.8","1.0","",".",".","",".","0.6","0.2","0.0","0.7","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1273","3.158","31.7","20.8","20.3","13.7","8.2","4.3","0.9",".","",".",".","",".",".","0.2",".",".","."
"Sophomore","","1031","3.211","35.0","18.8","23.1","9.4","8.1","4.4","0.7",".","",".",".","",".",".","0.4",".","0.2","."
"Junior","","1089","3.201","35.2","19.9","21.8","9.6","8.2","3.7","1.4",".","",".",".","",".",".","0.2",".","0.2","."
"Senior","","1476","3.432","49.6","17.4","16.7","6.4","5.7","1.8","0.5","0.1","",".",".","",".","1.4","0.2",".","0.3","."
"Undergraduates","","4869","3.265","38.6","19.2","20.1","9.7","7.4","3.4","0.9","0.0","",".",".","",".","0.4","0.2",".","0.2","."
"Special","","53","3.126","24.5","15.1","11.3","5.7","9.4","5.7",".","13.2","",".",".","",".",".",".","3.8","11.3","."
"Graduate","","241","3.881","59.3","5.4","1.2","0.4","0.4",".",".","17.4","",".","2.1","",".","4.1",".",".","9.5","."
"Prof Yr 3","","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 4","","6","4.000","83.3",".",".",".",".",".",".",".","",".",".","",".",".","16.7",".",".","."
"Professionals","","8","4.000","87.5",".",".",".",".",".",".",".","",".",".","",".",".","12.5",".",".","."
"","Dept. Total","5171","3.277","39.5","18.4","19.1","9.2","7.1","3.3","0.8","1.0","",".","0.1","",".","0.6","0.2","0.0","0.7","."
