"","699
108","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
109","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
110","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Neurol 699: Directed Research","Course Total","","37","3.932","86.5","2.7","5.4","",".","",".","",".","",".","",".","",".",".","",".","",".","5.4",".",".","."
"NEUROL
676","Dept. Total","","37","3.932","86.5","2.7","5.4","",".","",".","",".","",".","",".","",".",".","",".","",".","5.4",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","7","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","","14","3.875","85.7",".","14.3","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","","15","3.953","80.0","6.7",".","",".","",".","",".","",".","",".","",".",".","",".","",".","13.3",".",".","."
"Undergraduates","","","36","3.929","86.1","2.8","5.6","",".","",".","",".","",".","",".","",".",".","",".","",".","5.6",".",".","."
"Special","","","1","***","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","","37","3.932","86.5","2.7","5.4","",".","",".","",".","",".","",".","",".",".","",".","",".","5.4",".",".","."
