"INTERNATIONAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","",""
"Intro to International Studies","101
001","130","3.368","20.0","30.8","18.5","6.9","1.5","0.8",".","20.0","1.5",".",".",".",".",".",".","."
"","310
001","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
008","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
011","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
015","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
028","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internl Learning Community Smr","Course Total","49","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Contemporary Issues-Intl St","320
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"East Asia & The US Since 1899","332
001","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Globalization and Education","335
001","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Growth&Develpmt Global Econ","374
001","17","3.567","35.3","35.3","11.8","5.9",".",".",".",".","5.9",".",".",".","5.9",".",".","."
"Topics in Global Security","401
001","23","3.848","87.0","4.3","4.3",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Culture in Age of Globalizatn","403
001","20","3.583","50.0","20.0","10.0","5.0","5.0",".",".","10.0",".",".",".",".",".",".",".","."
"Comparative Study of Genocide","439
001","8","3.286","25.0","37.5",".","12.5","12.5",".",".","12.5",".",".",".",".",".",".",".","."
"Politics&Policy in Global Econ","602
001","11","3.600","45.5","18.2","27.3",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"INTL ST
504","Dept. Total","281","3.483","29.5","22.8","11.7","4.3","1.8","0.4",".","10.7","1.1","17.4",".",".","0.4",".",".","."
