"SOCIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"Classical Soc Theory","","Course Total","","42","3.670","35.7","33.3","9.5",".",".",".",".","14.3",".",".",".",".","4.8","2.4",".","."
"","496","002","","23","3.957","95.7",".","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","496","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","496","005","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","496","006","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","496","007","","12","3.500","33.3","25.0","16.7","8.3",".",".",".","16.7",".",".",".",".",".",".",".","."
"","496","009","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","496","027","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Sociology","","Course Total","","80","3.901","85.0","6.3","3.8","1.3",".",".",".","2.5",".",".",".",".","1.3",".",".","."
"Poverty and Place","578","001","","20","3.827","70.0","5.0","5.0","5.0",".",".",".","5.0",".",".",".",".","10.0",".",".","."
"Community Development","617","001","","9","3.813","77.8",".",".","11.1",".",".",".",".","11.1",".",".",".",".",".",".","."
"Soc:Devlp Societies/3rd Wld","630","001","","14","3.654","42.9","35.7","14.3",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Sociol-Economic Institutions","652","001","","17","3.500","23.5","5.9","5.9",".","5.9",".",".","47.1","5.9",".",".",".","5.9",".",".","."
"Senior Honors Thesis","682","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Analysis & Research","693","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Risk Mgmt-Tech Hazards","708","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Methods-Sociology","750","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Classical Theory","773","001","","12","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","875","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","","Course Total","","10","4.000","80.0",".",".",".",".",".",".",".",".",".",".","20.0",".",".",".","."
"Smr: Topics in Current Soc","901","001","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Smr: Sociol-Econ Change","940","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Math&Stat Applications-Soc","952","001","","13","3.583","23.1","61.5","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Curr Meth Iss-Social Psych","960","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Topics-Demography&Ecol","971","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Human Ecology","977","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch:Sociol of Gender Trainees","984","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch:Comm & Environmental Soc","985","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch: Race & Ethnic Studies","987","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","034","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
