"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","",""
"699","262","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","266","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","267","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","118","4.000","99.2",".",".",".",".",".",".","0.8
.",".",".",".",".",".",".","."
"701
Cell Signals and Human Disease","001","","9","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"710
Improv for Scientists","003","","18","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"720
Endocrinology and Metabolism","001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".   
.",".",".",".",".",".",".","."
"809","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"809","091","","5","***","","","","","","","","",".",".",".",".",".",".","."
"Health Care & Incarceration","Course Total","","7","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"902
MSTP Phys-Sci Preceptorship","062","","1","***","","","","","","","","",".",".",".",".",".",".","."
"904","001","","4","***","","","","","","","","",".",".",".",".",".",".","."
"904","002","","6","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"904","007","","29","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"904","008","","27","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"904","011","","10","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"Science of Cutaneous Disease","Course Total","","76","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"905
Ventilator Physiology","023","","12","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"906","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"906","003","","1","***","","","","","","","","",".",".",".",".",".",".","."
"906","004","","1","***","","","","","","","","",".",".",".",".",".",".","."
"906","005","","1","***","","","","","","","","",".",".",".",".",".",".","."
"906","011","","1","***","","","","","","","","",".",".",".",".",".",".","."
"906","012","","1","***","","","","","","","","",".",".",".",".",".",".","."
"ACE Elderly Consult Elective","Course Total","","6","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"907","004","","1","***","","","","","","","","",".",".",".",".",".",".","."
"907","011","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Inpat Endo/Diabetes Consults","Course Total","","2","***","","","","","","","","","","","","","","",""
"909
ID Transplant Services","003","","1","***","","","","","","","","",".",".",".",".",".",".","."
"910","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"910","004","","1","***","","","","","","","","",".",".",".",".",".",".","."
"910","006","","2","***","","","","","","","","",".",".",".",".",".",".","."
"910","009","","1","***","","","","","","","","",".",".",".",".",".",".","."
"910","041","","1","***","","","","","","","","",".",".",".",".",".",".","."
"910","043","","1","***","","","","","","","","",".",".",".",".",".",".","."
"910","046","","3","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Research- Medicine","Course Total","","10","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"912","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"912","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"912","004","","2","***","","","","","","","","",".",".",".",".",".",".","."
"Transplant/Immun & Nephrology","Course Total","","4","***","","","","","","","","","","","","","","",""
"915","001","","135","",".",".",".",".",".",".",".","99.3
0.7",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","Page 381 of 447",""
